rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S63,Caverphone.java,170,return caverphone(pString);,0.353553,1,1
2,S38,Caverphone.java,104,"txt = txt.replaceAll(""g"", ""k"");",0.333333,62,63
2,S39,Caverphone.java,105,"txt = txt.replaceAll(""s+"", ""S"");",0.333333,62,63
2,S40,Caverphone.java,106,"txt = txt.replaceAll(""t+"", ""T"");",0.333333,62,63
2,S41,Caverphone.java,107,"txt = txt.replaceAll(""p+"", ""P"");",0.333333,62,63
2,S42,Caverphone.java,108,"txt = txt.replaceAll(""k+"", ""K"");",0.333333,62,63
2,S43,Caverphone.java,109,"txt = txt.replaceAll(""f+"", ""F"");",0.333333,62,63
2,S44,Caverphone.java,110,"txt = txt.replaceAll(""m+"", ""M"");",0.333333,62,63
2,S45,Caverphone.java,111,"txt = txt.replaceAll(""n+"", ""N"");",0.333333,62,63
2,S46,Caverphone.java,112,"txt = txt.replaceAll(""w3"", ""W3"");",0.333333,62,63
2,S47,Caverphone.java,114,"txt = txt.replaceAll(""wh3"", ""Wh3"");",0.333333,62,63
2,S48,Caverphone.java,115,"txt = txt.replaceAll(""w$"", ""3"");       // 2.0 only",0.333333,62,63
2,S49,Caverphone.java,117,"txt = txt.replaceAll(""w"", ""2"");",0.333333,62,63
2,S50,Caverphone.java,118,"txt = txt.replaceAll(""^h"", ""A"");",0.333333,62,63
2,S51,Caverphone.java,119,"txt = txt.replaceAll(""h"", ""2"");",0.333333,62,63
2,S52,Caverphone.java,120,"txt = txt.replaceAll(""r3"", ""R3"");",0.333333,62,63
2,S53,Caverphone.java,121,"txt = txt.replaceAll(""r$"", ""3"");       // 2.0 only",0.333333,62,63
2,S54,Caverphone.java,123,"txt = txt.replaceAll(""r"", ""2"");",0.333333,62,63
2,S55,Caverphone.java,124,"txt = txt.replaceAll(""l3"", ""L3"");",0.333333,62,63
2,S56,Caverphone.java,125,"txt = txt.replaceAll(""l$"", ""3"");       // 2.0 only",0.333333,62,63
2,S57,Caverphone.java,127,"txt = txt.replaceAll(""l"", ""2"");",0.333333,62,63
2,S58,Caverphone.java,133,"txt = txt.replaceAll(""2"", """");",0.333333,62,63
2,S59,Caverphone.java,134,"txt = txt.replaceAll(""3$"", ""A"");       // 2.0 only",0.333333,62,63
2,S60,Caverphone.java,135,"txt = txt.replaceAll(""3"", """");",0.333333,62,63
2,S61,Caverphone.java,138,"txt = txt + ""111111"" + ""1111"";        // 1.0 only has 6 1s",0.333333,62,63
2,S62,Caverphone.java,141,"return txt.substring(0, 10);          // 1.0 truncates to 6",0.333333,62,63
64,S64,Caverphone.java,182,return caverphone(str1).equals(caverphone(str2));,0.0,1,64
