virtual_test_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,result
testCompareDouble_NumberUtils_L179_P_14,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L180_P_15,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L181_P_16,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L182_P_17,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L183_P_18,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L185_P_19,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L186_P_20,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L187_P_21,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L188_P_22,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L189_P_23,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L190_P_24,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L191_P_25,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L192_P_26,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L193_P_27,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L195_P_28,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L196_P_29,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L197_P_30,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L198_P_31,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L199_P_32,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L200_P_33,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L201_P_34,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L202_P_35,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L203_P_36,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L205_P_37,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L206_P_38,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L207_P_39,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L208_P_40,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L209_P_41,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L210_P_42,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L211_P_43,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L212_P_44,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L213_P_45,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L215_P_46,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L216_P_47,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L217_P_48,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L218_P_49,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L219_P_50,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L220_P_51,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L221_P_52,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L222_P_53,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L223_P_54,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L225_P_55,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L226_P_56,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L227_P_57,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L228_P_58,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L229_P_59,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L230_P_60,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L231_P_61,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L232_P_62,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L233_P_63,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L235_P_64,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L236_P_65,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L237_P_66,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L238_P_67,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L239_P_68,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L240_P_69,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L241_P_70,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L242_P_71,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L243_P_72,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L245_P_73,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L246_P_74,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L247_P_75,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L248_P_76,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L249_P_77,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L250_P_78,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L251_P_79,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L252_P_80,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L253_P_81,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L257_P_82,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,PASS
testCompareFloat_NumberUtils_L258_P_83,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,PASS
testCompareFloat_NumberUtils_L259_P_84,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,PASS
testCompareFloat_NumberUtils_L260_P_85,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,PASS
testCompareFloat_NumberUtils_L261_P_86,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,PASS
testCompareFloat_NumberUtils_L262_P_87,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,PASS
testCompareFloat_NumberUtils_L263_P_88,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,PASS
testCompareFloat_NumberUtils_L264_P_89,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,PASS
testCompareFloat_NumberUtils_L265_P_90,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,PASS
testCompareFloat_NumberUtils_L267_P_91,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,PASS
testCompareFloat_NumberUtils_L268_P_92,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,PASS
testCompareFloat_NumberUtils_L269_P_93,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L270_P_94,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L271_P_95,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L272_P_96,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L273_P_97,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L274_P_98,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L275_P_99,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L277_P_100,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,PASS
testCompareFloat_NumberUtils_L278_P_101,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L279_P_102,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,PASS
testCompareFloat_NumberUtils_L280_P_103,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L281_P_104,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L282_P_105,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L283_P_106,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L284_P_107,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L285_P_108,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L287_P_109,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,PASS
testCompareFloat_NumberUtils_L288_P_110,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L289_P_111,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L290_P_112,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,PASS
testCompareFloat_NumberUtils_L291_P_113,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L292_P_114,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L293_P_115,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L294_P_116,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L295_P_117,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L297_P_118,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,PASS
testCompareFloat_NumberUtils_L298_P_119,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L299_P_120,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L300_P_121,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L301_P_122,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,PASS
testCompareFloat_NumberUtils_L302_P_123,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,PASS
testCompareFloat_NumberUtils_L303_P_124,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L304_P_125,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L305_P_126,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L307_P_127,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,PASS
testCompareFloat_NumberUtils_L308_P_128,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L309_P_129,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L310_P_130,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L311_P_131,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,PASS
testCompareFloat_NumberUtils_L312_P_132,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,PASS
testCompareFloat_NumberUtils_L313_P_133,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L314_P_134,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L315_P_135,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L317_P_136,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,PASS
testCompareFloat_NumberUtils_L318_P_137,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L319_P_138,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L320_P_139,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L321_P_140,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L322_P_141,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L323_P_142,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,PASS
testCompareFloat_NumberUtils_L324_P_143,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L325_P_144,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L327_P_145,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,PASS
testCompareFloat_NumberUtils_L328_P_146,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L329_P_147,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L330_P_148,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L331_P_149,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L332_P_150,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L333_P_151,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L334_P_152,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,PASS
testCompareFloat_NumberUtils_L335_P_153,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L337_P_154,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,PASS
testCompareFloat_NumberUtils_L338_P_155,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L339_P_156,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L340_P_157,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L341_P_158,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L342_P_159,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L343_P_160,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L344_P_161,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,PASS
testCompareFloat_NumberUtils_L345_P_162,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,PASS
