Slice:
---------------------
(com.fasterxml.jackson.dataformat.xml.JacksonXmlModule:75)  specialinvoke this.<com.fasterxml.jackson.databind.module.SimpleModule: void setupModule(com.fasterxml.jackson.databind.Module$SetupContext)>(context) <---- com.fasterxml.jackson.dataformat.xml.JacksonXmlModule:65
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:96)  specialinvoke $stack9.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent: void <init>(java.lang.String,java.lang.String)>("a", "First") <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:31
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:96)  specialinvoke $stack9.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent: void <init>(java.lang.String,java.lang.String)>("a", "First") <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:32
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:30)  specialinvoke this.<java.lang.Object: void <init>()>() <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:97
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:26)  $stack3 = new java.util.ArrayList <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:26
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:26)  specialinvoke $stack3.<java.util.ArrayList: void <init>()>() <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:26
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:26)  this.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent: java.util.List prop> = $stack3 <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:97
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:31)  this.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent: java.lang.String name> = name <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:97
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:32)  this.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent: java.lang.String description> = desc <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:97
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:97)  $stack10 = $stack8.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parents: java.util.List parent> <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:97
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:97)  interfaceinvoke $stack10.<java.util.List: boolean add(java.lang.Object)>($stack9) <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:103
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:97)  interfaceinvoke $stack10.<java.util.List: boolean add(java.lang.Object)>($stack9) <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:105
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:100)  $stack18 = new com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:30
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:100)  $stack18 = new com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:103
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:100)  specialinvoke $stack18.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent: void <init>(java.lang.String,java.lang.String)>("b", "Second") <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:31
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:100)  specialinvoke $stack18.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent: void <init>(java.lang.String,java.lang.String)>("b", "Second") <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:30
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:100)  specialinvoke $stack18.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent: void <init>(java.lang.String,java.lang.String)>("b", "Second") <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:26
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:100)  specialinvoke $stack18.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent: void <init>(java.lang.String,java.lang.String)>("b", "Second") <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:32
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:100)  specialinvoke $stack18.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent: void <init>(java.lang.String,java.lang.String)>("b", "Second") <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:33
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:30)  specialinvoke this.<java.lang.Object: void <init>()>() <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:103
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:26)  this.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent: java.util.List prop> = $stack3 <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:103
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:31)  this.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent: java.lang.String name> = name <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:103
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:32)  this.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent: java.lang.String description> = desc <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:103
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:103)  $stack25 = $stack8.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parents: java.util.List parent> <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:103
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:103)  interfaceinvoke $stack25.<java.util.List: boolean add(java.lang.Object)>($stack18) <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:105
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:105)  $stack27 = this.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER> <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:105
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:105)  $stack28 = virtualinvoke $stack27.<com.fasterxml.jackson.dataformat.xml.XmlMapper: java.lang.String writeValueAsString(java.lang.Object)>($stack8) <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:106
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:106)  staticinvoke <com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest: void assertNotNull(java.lang.Object)>($stack28) <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:106
