Project,BugID,Baseline_Time_(s),SBFL_Time_(s),Hybrid_Time_(s),Avg_Slice_Time_(s),Peak_Memory_(KB)
Gson,18b,7.0,151.772,247.08,26.374,672352.0
JacksonCore,1b,8.564,955.583,1218.041,21.232,656792.0
Gson,17b,7.263,3053.303,4239.0,25.76,695568.0
Gson,10b,7.3,3577.301,19894.815,22.412,711592.0
JacksonCore,2b,8.248,1039.28,1347.431,22.584,678260.0
JacksonCore,4b,9.625,1205.526,1513.475,23.657,678776.0
JacksonCore,3b,8.792,842.844,2018.071,23.772,688680.0
JacksonCore,5b,9.417,25.58,2149.971,24.566,696272.0
JacksonCore,7b,10.951,727.101,1028.728,27.582,696764.0
JacksonCore,6b,10.26,29.398,2248.091,24.225,689784.0
JacksonCore,8b,11.398,1240.52,2315.32,31.0,1347480.0
JacksonCore,9b,11.85,1435.645,1937.515,28.227,695000.0
JacksonCore,11b,11.623,1803.37,2274.736,35.77,794024.0
Gson,4b,6.843,4837.636,35291.553,28.451,1533596.0
JacksonCore,13b,10.679,1899.432,2422.291,32.172,753364.0
JacksonCore,15b,11.246,90.671,817.425,35.041,782288.0
JacksonCore,16b,13.997,15.476,673.126,32.499,726612.0
JacksonCore,17b,12.083,2022.688,2544.861,35.276,736700.0
JacksonCore,14b,11.169,1896.419,6973.91,30.33,764384.0
JacksonCore,12b,10.595,1864.188,10495.941,78.637,1410168.0
JacksonCore,18b,11.185,1976.188,2548.655,28.805,703380.0
JacksonCore,19b,11.46,2024.281,2567.493,30.939,710112.0
JacksonCore,20b,13.68,2525.501,4031.195,29.65,731908.0
JacksonCore,21b,16.208,108.203,3297.707,27.699,767704.0
JacksonCore,22b,19.033,124.423,5022.984,38.845,820332.0
JacksonCore,23b,21.182,3648.795,4595.485,41.385,785120.0
Gson,7b,6.911,4749.918,51516.433,42.51,1375096.0
JxPath,1b,6.499,881.794,1234.935,28.901,753288.0
JacksonCore,26b,19.643,3535.616,5053.717,39.096,796924.0
JxPath,2b,6.887,845.581,1125.385,25.028,755156.0
JxPath,3b,6.491,837.067,1226.383,33.656,898364.0
JxPath,4b,7.776,923.282,1314.213,22.961,678848.0
JxPath,5b,8.373,995.376,1419.644,22.035,672064.0
JxPath,6b,8.393,1014.968,1448.548,21.375,669216.0
JxPath,7b,8.274,221.958,426.56,20.844,669396.0
JxPath,8b,8.071,225.29,437.83,21.605,673352.0
Gson,13b,7.407,4727.461,42471.896,42.043,1377360.0
JxPath,11b,8.871,193.205,252.512,0.0,380292.0
JxPath,10b,7.903,230.875,479.229,23.195,702696.0
JxPath,9b,8.216,1033.195,1485.383,24.294,694544.0
JxPath,12b,8.344,1052.915,1367.421,23.828,665360.0
JxPath,13b,8.112,1052.17,1365.802,22.868,666800.0
JxPath,14b,8.455,715.087,1222.816,44.587,868576.0
JxPath,17b,9.099,211.683,273.529,0.0,376048.0
JxPath,15b,8.333,1089.421,1387.64,0.0,377316.0
JxPath,16b,9.611,1120.159,1426.424,0.0,383164.0
JxPath,20b,10.245,239.884,449.644,20.837,674328.0
JxPath,18b,8.861,1142.243,1447.248,0.0,380852.0
JxPath,19b,9.46,1205.449,1580.949,23.028,665456.0
JxPath,21b,10.165,1139.331,1768.392,22.986,694976.0
JxPath,22b,10.478,1311.756,1683.831,23.109,657800.0
Lang,4b,26.733,913.005,1138.764,0.0,1359848.0
Lang,5b,27.754,88.601,180.619,67.539,1358940.0
Lang,6b,26.987,935.289,6364.084,64.069,1316116.0
JacksonCore,10b,10.588,1826.021,45130.558,201.31,1418292.0
Lang,8b,24.803,740.474,1063.839,65.841,1355252.0
Lang,9b,23.903,825.685,1105.96,60.436,1361592.0
Lang,10b,22.684,819.171,1100.656,63.031,1385924.0
Lang,11b,23.033,64.45,84.491,0.0,1284052.0
Lang,12b,22.144,58.962,313.03,58.67,1287536.0
Lang,3b,24.717,1123.294,15228.262,58.774,1355808.0
Lang,13b,23.033,970.573,1330.227,57.677,1283024.0
Lang,1b,24.203,1125.394,16596.818,58.87,1357952.0
Lang,15b,18.687,67.535,14148.982,55.52,1234336.0
Lang,17b,15.138,285.936,830.53,52.255,869504.0
Lang,18b,15.196,560.272,3406.42,51.763,883908.0
Lang,19b,14.149,192.965,398.923,39.105,798964.0
JacksonCore,25b,19.901,3509.986,49856.135,57.864,1417764.0
Lang,21b,14.06,700.01,6241.136,49.699,898028.0
Lang,7b,26.671,1061.69,33099.675,60.131,1350252.0
Lang,23b,14.396,61.956,82.159,0.0,436032.0
Lang,24b,14.043,680.2,846.815,0.0,358088.0
Lang,16b,15.068,1018.836,26744.076,55.934,922776.0
Lang,25b,14.061,191.141,240.213,0.0,348572.0
Lang,26b,13.221,568.903,1041.477,47.859,828680.0
Lang,28b,13.887,122.065,1042.454,59.152,1407788.0
Lang,27b,14.457,693.741,5311.167,45.843,830288.0
JacksonCore,24b,22.682,3503.805,71212.608,86.23,1465772.0
Lang,29b,13.473,3962.407,34511.78,42.845,904960.0
Lang,32b,13.787,277.374,2057.44,48.811,798596.0
Lang,33b,13.847,1566.178,30437.698,46.892,819832.0
Lang,34b,13.609,2072.443,8219.948,46.129,799028.0
Lang,36b,11.865,661.826,4737.382,44.421,822880.0
Lang,35b,13.021,4708.029,5908.113,48.062,794880.0
Lang,38b,12.717,357.097,540.122,46.889,801660.0
Lang,37b,11.761,3887.939,4922.976,40.013,808292.0
Lang,40b,11.784,3096.652,3947.564,50.973,805976.0
Lang,41b,12.047,1575.154,21817.367,51.102,841160.0
Lang,42b,20.833,368.864,1296.102,63.588,927608.0
Lang,43b,37.605,92.452,7018.149,404.765,2610668.0
Lang,44b,21.446,138.371,18967.575,62.173,951228.0
Lang,45b,19.024,534.521,32384.146,60.332,967812.0
Lang,46b,18.513,568.484,2002.713,58.536,912528.0
Lang,31b,13.363,3720.167,174687.581,50.053,1238388.0
Lang,14b,18.901,5331.152,216382.515,58.834,1262668.0
Lang,30b,13.649,3707.841,183793.572,49.719,1220144.0
Lang,49b,18.417,168.264,2481.578,58.136,926260.0
Lang,50b,19.278,247.853,4899.283,58.008,902896.0
Lang,52b,19.891,510.503,4318.986,62.388,889620.0
Lang,20b,14.01,4222.762,213729.787,53.234,1246412.0
Lang,54b,20.19,87.078,180.073,66.008,782148.0
Lang,55b,20.546,50.108,290.022,55.148,900572.0
Lang,56b,19.963,236.752,1589.772,61.234,876960.0
Lang,57b,20.439,80.749,103.874,0.0,546400.0
Lang,53b,20.394,216.107,10191.123,60.742,910512.0
Lang,51b,18.657,1308.819,24843.91,60.417,921804.0
Lang,60b,19.06,1288.72,1619.674,0.0,536620.0
Lang,58b,18.793,1376.136,35230.475,59.521,913768.0
Lang,62b,18.809,307.818,1152.4,54.305,801628.0
Lang,63b,18.752,107.22,258.999,58.485,798412.0
Lang,64b,18.177,481.858,662.319,56.979,812392.0
Lang,65b,17.668,188.137,591.88,58.494,818692.0
Lang,39b,12.652,3405.208,162907.926,51.692,1227056.0
Lang,48b,19.631,1815.687,82288.02,61.099,939960.0
Lang,47b,19.371,1349.834,100587.183,61.737,942144.0
Lang,59b,20.386,1169.79,86933.424,56.966,934724.0
Lang,61b,16.886,1078.602,87011.706,56.18,912788.0
