Project,BugID,Total_Faults,Included_In_Slice,Fault_Inclusion_Rate,Fail_Assert_Count,All_Faulty_Stmts_In_Slice,Faulty_Stmts_In_Slice
Lang,50b,12,8,0.666667,2,,
Lang,52b,1,0,0.0,0,,
Lang,20b,2,0,0.0,2,,
Lang,54b,1,0,0.0,1,False,False
Lang,55b,2,2,1.0,1,True,True
Lang,56b,3,0,0.0,1,False,False
Lang,57b,1,0,0.0,0,False,False
Lang,53b,4,0,0.0,1,False,False
Lang,51b,1,0,0.0,1,False,False
Lang,60b,2,0,0.0,0,False,False
Lang,58b,1,0,0.0,1,False,False
Lang,62b,4,0,0.0,6,False,False
Lang,63b,21,0,0.0,1,False,False
Lang,64b,5,0,0.0,1,False,False
Lang,65b,8,2,0.25,1,False,True
Lang,39b,1,0,0.0,0,False,False
Lang,48b,2,1,0.5,1,False,True
Lang,47b,2,0,0.0,2,False,False
Lang,59b,1,0,0.0,1,False,False
Lang,61b,1,0,0.0,2,False,False
