project,bug_id,full_execution_size,passing_TC_size,failing_TC_size,union_passing_slice,union_failing_slice,union_all_slice,all_reduction_ratio
Gson,13b,2904,2904,302,493,81,495,0.829545
JxPath,11b,2893,2893,0,0,0,0,1.0
JxPath,10b,4078,4071,1322,0,0,0,1.0
JxPath,9b,5550,5540,945,0,0,0,1.0
JxPath,12b,5603,5591,1295,0,0,0,1.0
JxPath,13b,5639,5598,1357,0,0,0,1.0
JxPath,14b,5321,5152,2493,0,0,0,1.0
JxPath,17b,3019,3019,0,0,0,0,1.0
JxPath,15b,5653,5653,0,0,0,0,1.0
JxPath,16b,5676,5676,0,0,0,0,1.0
JxPath,20b,3898,3897,884,0,0,0,1.0
JxPath,18b,5688,5688,0,0,0,0,1.0
JxPath,19b,5641,5587,1387,0,0,0,1.0
JxPath,21b,5608,5605,1803,0,0,0,1.0
JxPath,22b,5799,5722,1182,0,0,0,1.0
Lang,4b,1589,1589,22,0,0,0,1.0
Lang,5b,187,187,15,0,0,0,1.0
Lang,6b,1583,1583,126,127,0,127,0.919773
JacksonCore,10b,7219,7210,863,981,412,1015,0.859399
Lang,8b,1151,1146,283,0,0,0,1.0
Lang,9b,1206,1205,89,0,0,0,1.0
Lang,10b,1209,1208,137,0,0,0,1.0
Lang,11b,51,51,11,0,0,0,1.0
Lang,12b,46,45,17,0,0,0,1.0
Lang,3b,942,942,56,88,16,90,0.904459
Lang,13b,982,977,27,0,0,0,1.0
Lang,1b,944,944,38,90,12,90,0.904661
Lang,15b,470,294,410,124,36,124,0.73617
Lang,17b,678,678,124,35,0,35,0.948378
Lang,18b,967,957,242,108,64,120,0.875905
Lang,19b,633,633,25,0,2,2,0.99684
JacksonCore,25b,10914,10901,598,1931,184,1934,0.822796
Lang,21b,634,632,4,14,0,14,0.977918
Lang,7b,949,943,214,26,62,82,0.913593
Lang,23b,263,263,124,0,0,0,1.0
Lang,24b,918,853,160,0,0,0,1.0
Lang,16b,962,962,98,12,39,51,0.946985
Lang,25b,620,620,16,0,0,0,1.0
Lang,26b,973,971,119,84,62,100,0.897225
Lang,28b,251,251,29,53,18,62,0.752988
Lang,27b,906,786,213,14,52,61,0.932671
JacksonCore,24b,11083,11068,981,1911,379,1912,0.827484
Lang,29b,3884,3883,136,30,0,30,0.992276
Lang,32b,194,193,69,38,2,38,0.804124
Lang,33b,1353,1345,56,191,8,198,0.853659
Lang,34b,1963,1940,394,1,0,1,0.999491
Lang,36b,894,799,254,14,52,61,0.931767
Lang,35b,4773,4771,27,0,8,8,0.998324
Lang,38b,699,695,146,0,26,26,0.962804
Lang,37b,4428,4428,26,0,7,7,0.998419
Lang,40b,4091,4091,4,0,0,0,1.0
Lang,41b,1336,1334,47,165,16,170,0.872754
Lang,42b,447,447,131,0,0,0,1.0
Lang,43b,231,225,27,77,0,77,0.666667
Lang,44b,233,233,20,22,0,22,0.905579
Lang,45b,1130,1107,24,110,22,132,0.883186
Lang,46b,1229,1229,21,44,11,55,0.955248
Lang,31b,4188,4188,32,842,8,842,0.798949
Lang,14b,5340,5340,5,911,3,911,0.829401
Lang,30b,4209,4209,72,848,35,848,0.798527
Lang,49b,256,252,45,0,24,24,0.90625
Lang,50b,597,561,189,111,139,168,0.718593
Lang,52b,1010,1007,26,155,15,168,0.833663
Lang,20b,4251,4250,46,912,14,914,0.784992
Lang,54b,166,166,18,0,0,0,1.0
Lang,55b,154,154,18,5,7,7,0.954545
Lang,56b,585,541,151,25,15,25,0.957265
Lang,57b,5,0,5,0,0,0,1.0
Lang,53b,524,524,40,0,0,0,1.0
Lang,51b,1043,1024,19,106,17,123,0.882071
Lang,60b,1324,1324,57,0,0,0,1.0
Lang,58b,1283,1283,49,139,0,139,0.89166
Lang,62b,429,429,90,0,0,0,1.0
Lang,63b,495,488,113,0,0,0,1.0
Lang,64b,161,161,38,0,0,0,1.0
Lang,65b,502,502,23,0,13,13,0.974104
Lang,39b,4084,4081,51,773,26,797,0.804848
Lang,48b,2270,2270,11,288,8,288,0.873128
Lang,47b,1370,1370,32,397,3,397,0.710219
Lang,59b,1324,1324,11,373,2,373,0.718278
Lang,61b,1324,1324,60,373,31,373,0.718278
