Project,BugID,Pass_TC,Fail_TC,Pass_Assert,Fail_Assert,Uncaught_Exception
Gson,7b,875,4,1591,0,2
JxPath,1b,141,2,18,0,2
JacksonCore,26b,549,10,1275,1,0
JxPath,2b,143,1,18,0,1
JxPath,3b,141,1,17,1,0
JxPath,4b,150,6,19,0,6
JxPath,5b,166,1,19,0,1
JxPath,6b,169,1,19,0,1
JxPath,7b,36,1,0,0,1
JxPath,8b,37,1,0,0,1
Gson,13b,881,2,1560,1,0
JxPath,11b,31,0,0,0,0
JxPath,10b,38,1,0,0,1
JxPath,9b,171,1,19,0,1
JxPath,12b,173,1,19,0,1
JxPath,13b,174,1,19,0,1
JxPath,14b,118,1,16,0,1
JxPath,17b,34,0,0,0,0
JxPath,15b,182,0,19,0,0
JxPath,16b,186,0,28,0,0
JxPath,20b,39,1,0,0,1
JxPath,18b,187,0,28,0,0
JxPath,19b,196,2,38,0,2
JxPath,21b,183,2,38,0,2
JxPath,22b,208,1,38,0,1
Lang,4b,136,1,1039,0,0
Lang,5b,12,1,19,0,1
Lang,6b,141,1,1010,1,0
JacksonCore,10b,288,4,750,3,1
Lang,8b,111,3,515,1,0
Lang,9b,124,3,515,0,1
Lang,10b,123,3,515,0,1
Lang,11b,10,1,13,0,0
Lang,12b,8,2,12,1,1
Lang,3b,171,9,574,1,0
Lang,13b,156,2,739,0,1
Lang,1b,172,9,581,1,0
Lang,15b,8,2,88,2,0
Lang,17b,44,1,184,1,0
Lang,18b,92,3,487,1,0
Lang,19b,30,2,181,0,1
JacksonCore,25b,537,10,1226,0,1
Lang,21b,115,2,376,0,0
Lang,7b,165,9,551,0,0
Lang,23b,7,3,9,0,0
Lang,24b,109,9,541,0,0
Lang,16b,163,9,537,0,0
Lang,25b,31,1,180,0,0
Lang,26b,92,3,473,1,0
Lang,28b,19,1,53,1,0
Lang,27b,109,7,531,0,0
JacksonCore,24b,537,17,1214,0,4
Lang,29b,635,10,3491,1,0
Lang,32b,44,1,104,1,0
Lang,33b,254,1,1237,1,0
Lang,34b,317,28,1498,0,0
Lang,36b,108,8,525,1,0
Lang,35b,794,3,4976,0,1
Lang,38b,58,3,220,1,0
Lang,37b,656,2,4481,0,0
Lang,40b,515,8,3715,1,0
Lang,41b,239,2,1013,2,0
Lang,42b,48,6,76,0,5
Lang,43b,6,3,8,0,1
Lang,44b,19,1,197,0,1
Lang,45b,81,1,896,1,0
Lang,46b,86,1,740,1,0
Lang,31b,569,9,4064,2,0
Lang,14b,812,9,5167,1,0
Lang,30b,572,17,4121,10,0
Lang,49b,24,1,325,1,0
Lang,50b,33,4,208,2,0
Lang,52b,73,1,653,0,0
Lang,20b,583,9,4080,2,0
Lang,54b,11,1,19,0,1
Lang,55b,5,1,16,1,0
Lang,56b,32,2,203,0,1
Lang,57b,0,11,0,0,0
Lang,53b,30,2,202,1,0
Lang,51b,189,1,883,1,0
Lang,60b,184,2,960,0,0
Lang,58b,202,7,1079,0,1
Lang,62b,41,6,60,0,6
Lang,63b,15,1,132,1,0
Lang,64b,74,1,238,0,1
Lang,65b,29,1,191,1,0
Lang,39b,522,8,3747,0,0
Lang,48b,280,2,1963,1,0
Lang,47b,204,3,1017,0,2
Lang,59b,185,2,960,0,1
Lang,61b,182,3,958,1,1
Math,2b,9,1,6,0,0
Math,1b,311,3,847,0,2
Math,4b,50,2,123,2,0
Math,5b,175,8,484,1,0
Math,6b,171,26,311,9,17
Math,8b,21,1,23,1,0
Math,12b,488,0,874,0,0
Math,9b,34,1,130,1,0
Math,14b,60,1,68,0,1
Math,3b,1218,11,2861,1,0
Math,29b,4,0,0,0,0
Math,25b,6,2,13,0,0
Math,19b,24,1,0,0,1
Math,24b,15,1,34,0,0
Math,30b,2,1,2,1,0
Math,23b,16,1,34,0,0
Math,20b,23,1,0,0,0
Math,35b,8,4,9,0,0
Math,34b,23,1,20,0,0
Math,10b,327,2,727,1,0
Math,22b,63,0,94,0,0
Math,33b,27,1,61,1,0
Math,32b,22,1,46,1,0
Math,11b,9,1,9,1,0
Math,17b,87,1,227,0,1
Math,38b,18,1,0,0,1
Math,18b,25,1,1,1,0
Math,36b,92,2,211,2,0
Math,26b,212,2,604,0,1
Math,27b,212,2,603,1,0
Math,40b,81,1,179,0,1
Math,21b,12,2,10,2,0
Math,42b,26,1,60,1,0
Math,39b,68,2,167,0,0
Math,41b,153,0,488,0,0
Math,44b,131,2,299,0,1
Math,48b,3,2,5,0,1
Math,49b,34,1,92,0,1
Math,43b,50,3,153,3,0
Math,45b,365,3,706,0,0
Math,50b,3,2,5,0,0
Math,51b,3,2,5,0,1
Math,52b,27,1,88,1,0
Math,55b,31,1,63,0,1
Math,54b,63,1,109,1,0
Math,57b,3,1,19,1,0
Math,58b,7,1,15,0,1
Math,56b,4,1,5,1,0
Math,28b,25,1,66,0,1
Math,60b,13,1,17,0,0
Math,61b,5,1,6,0,1
Math,62b,1,1,5,1,0
Math,31b,212,2,190,0,1
Math,64b,55,2,123,0,2
Math,66b,6,4,14,3,0
Math,67b,1,1,6,1,0
Math,68b,42,2,90,0,2
Math,69b,14,1,19,1,0
Math,37b,166,13,420,4,0
Math,71b,114,2,257,2,0
Math,47b,135,3,423,2,0
Math,46b,135,3,424,2,0
Math,70b,15,1,22,1,0
Math,75b,7,1,16,0,0
Math,72b,194,1,380,1,0
Math,73b,194,1,380,0,1
Math,76b,15,2,49,2,0
Math,16b,2193,16,5182,2,0
Math,13b,57,2,62,0,1
Math,59b,1418,3,3763,1,0
Math,78b,117,1,244,1,0
Math,81b,34,1,74,0,1
Math,77b,276,2,647,0,0
Math,80b,35,1,76,1,0
Math,84b,3,2,14,1,1
Math,85b,72,1,101,0,1
Math,79b,667,2,2100,0,1
Math,86b,10,2,16,0,0
Math,53b,118,2,386,1,0
Math,89b,6,1,15,0,1
Math,90b,6,1,15,0,1
Math,91b,61,1,241,1,0
Math,92b,386,1,1309,1,0
Math,65b,76,1,185,1,0
Math,74b,55,1,118,1,0
Math,95b,18,1,15,0,1
Math,93b,385,1,1305,1,0
Math,97b,109,1,172,0,0
Math,96b,100,1,294,1,0
Math,82b,13,1,31,1,0
Math,83b,16,1,31,1,0
Math,102b,13,4,7,0,0
Math,88b,14,1,27,1,0
Math,98b,117,2,306,0,2
Math,103b,11,1,8,0,1
Math,105b,8,1,5,1,0
Math,106b,15,1,45,0,1
Math,87b,15,1,29,1,0
Math,104b,91,1,50,0,1
Math,100b,47,1,103,0,0
Math,94b,385,1,1306,1,0
Math,99b,398,2,1371,0,0
Math,15b,2196,15,5187,1,0
Math,63b,706,2,2302,1,0
Compress,1b,25,1,14,0,1
Compress,7b,60,1,69,0,1
Compress,8b,62,1,71,0,1
Compress,2b,52,3,36,1,0
Compress,6b,79,1,119,1,0
Compress,3b,81,3,84,0,1
Compress,10b,34,1,62,0,1
Compress,4b,73,12,81,0,10
Compress,5b,100,3,149,0,0
Compress,9b,137,3,176,1,0
Compress,14b,84,3,109,0,1
Compress,15b,103,1,144,1,0
Compress,11b,156,3,209,0,1
Compress,17b,101,3,137,0,1
Compress,21b,7,8,28,0,8
Compress,16b,164,3,219,0,1
Compress,23b,24,1,30,0,1
Compress,18b,173,3,234,0,1
Compress,13b,101,2,141,2,0
Compress,12b,163,3,226,0,1
Compress,20b,183,3,233,0,1
Compress,24b,122,4,148,0,1
Compress,27b,126,4,156,0,0
Compress,19b,134,1,239,0,1
Compress,25b,246,4,316,0,0
Compress,26b,262,5,353,0,2
Compress,28b,274,4,348,0,0
Compress,31b,132,6,167,0,2
Compress,29b,301,6,380,0,3
Compress,33b,41,1,52,0,0
Compress,34b,147,2,298,0,1
Compress,36b,100,5,98,0,1
Compress,35b,137,5,170,0,1
Compress,40b,48,2,57,0,0
Compress,30b,92,1,101,1,0
Compress,32b,290,6,369,0,1
Compress,38b,126,5,152,0,1
Compress,39b,159,5,232,1,0
Compress,44b,48,6,70,0,0
Compress,22b,54,1,64,0,1
Compress,45b,143,5,185,0,1
Compress,46b,175,2,345,0,1
Compress,43b,416,12,706,0,0
Compress,42b,167,2,365,1,0
Compress,47b,389,12,461,1,0
Compress,41b,307,7,383,1,1
Compress,37b,301,6,385,0,1
