virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path
testEmptyLineBehaviourCSV_records_L230_P_28,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourCSV,org.apache.commons.csv.CSVParserTest,testEmptyLineBehaviourCSV,records,230,Virtual_Pass,93,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEmptyLineBehaviourCSV_records_L230_P_28/slice.log
testBackslashEscapingOld_records_L275_P_29,org.apache.commons.csv.CSVParserTest::testBackslashEscapingOld,org.apache.commons.csv.CSVParserTest,testBackslashEscapingOld,records,275,Virtual_Pass,0,
testBackslashEscapingOld_records_L276_P_30,org.apache.commons.csv.CSVParserTest::testBackslashEscapingOld,org.apache.commons.csv.CSVParserTest,testBackslashEscapingOld,records,276,Virtual_Pass,0,
testBackslashEscapingOld_records_L278_P_31,org.apache.commons.csv.CSVParserTest::testBackslashEscapingOld,org.apache.commons.csv.CSVParserTest,testBackslashEscapingOld,records,278,Virtual_Pass,0,
testBackslashEscaping2_records_L349_P_32,org.apache.commons.csv.CSVParserTest::testBackslashEscaping2,org.apache.commons.csv.CSVParserTest,testBackslashEscaping2,records,349,Virtual_Pass,133,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testBackslashEscaping2_records_L349_P_32/slice.log
testDefaultFormat_records_L374_P_33,org.apache.commons.csv.CSVParserTest::testDefaultFormat,org.apache.commons.csv.CSVParserTest,testDefaultFormat,records,374,Virtual_Pass,125,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testDefaultFormat_records_L374_P_33/slice.log
testCarriageReturnLineFeedEndings_records_L395_P_34,org.apache.commons.csv.CSVParserTest::testCarriageReturnLineFeedEndings,org.apache.commons.csv.CSVParserTest,testCarriageReturnLineFeedEndings,records,395,Virtual_Pass,117,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testCarriageReturnLineFeedEndings_records_L395_P_34/slice.log
testCarriageReturnEndings_records_L403_P_35,org.apache.commons.csv.CSVParserTest::testCarriageReturnEndings,org.apache.commons.csv.CSVParserTest,testCarriageReturnEndings,records,403,Virtual_Pass,116,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testCarriageReturnEndings_records_L403_P_35/slice.log
testLineFeedEndings_records_L411_P_36,org.apache.commons.csv.CSVParserTest::testLineFeedEndings,org.apache.commons.csv.CSVParserTest,testLineFeedEndings,records,411,Virtual_Pass,116,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testLineFeedEndings_records_L411_P_36/slice.log
testIgnoreEmptyLines_records_L421_P_37,org.apache.commons.csv.CSVParserTest::testIgnoreEmptyLines,org.apache.commons.csv.CSVParserTest,testIgnoreEmptyLines,records,421,Virtual_Pass,118,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testIgnoreEmptyLines_records_L421_P_37/slice.log
testForEach_records_L434_P_38,org.apache.commons.csv.CSVParserTest::testForEach,org.apache.commons.csv.CSVParserTest,testForEach,records,434,Virtual_Pass,104,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testForEach_records_L434_P_38/slice.log
testHeader_records_L487_P_39,org.apache.commons.csv.CSVParserTest::testHeader,org.apache.commons.csv.CSVParserTest,testHeader,records,487,Virtual_Pass,107,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testHeader_records_L487_P_39/slice.log
testHeader_records_L494_P_40,org.apache.commons.csv.CSVParserTest::testHeader,org.apache.commons.csv.CSVParserTest,testHeader,records,494,Virtual_Pass,10,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testHeader_records_L494_P_40/slice.log
testHeaderComment_records_L504_P_41,org.apache.commons.csv.CSVParserTest::testHeaderComment,org.apache.commons.csv.CSVParserTest,testHeaderComment,records,504,Virtual_Pass,113,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testHeaderComment_records_L504_P_41/slice.log
testHeaderComment_records_L511_P_42,org.apache.commons.csv.CSVParserTest::testHeaderComment,org.apache.commons.csv.CSVParserTest,testHeaderComment,records,511,Virtual_Pass,10,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testHeaderComment_records_L511_P_42/slice.log
testProvidedHeader_records_L521_P_43,org.apache.commons.csv.CSVParserTest::testProvidedHeader,org.apache.commons.csv.CSVParserTest,testProvidedHeader,records,521,Virtual_Pass,105,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testProvidedHeader_records_L521_P_43/slice.log
testProvidedHeader_records_L532_P_44,org.apache.commons.csv.CSVParserTest::testProvidedHeader,org.apache.commons.csv.CSVParserTest,testProvidedHeader,records,532,Virtual_Pass,10,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testProvidedHeader_records_L532_P_44/slice.log
testMappedButNotSetAsOutlook2007ContactExport_records_L542_P_45,org.apache.commons.csv.CSVParserTest::testMappedButNotSetAsOutlook2007ContactExport,org.apache.commons.csv.CSVParserTest,testMappedButNotSetAsOutlook2007ContactExport,records,542,Virtual_Pass,98,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testMappedButNotSetAsOutlook2007ContactExport_records_L542_P_45/slice.log
testMappedButNotSetAsOutlook2007ContactExport_records_L580_P_46,org.apache.commons.csv.CSVParserTest::testMappedButNotSetAsOutlook2007ContactExport,org.apache.commons.csv.CSVParserTest,testMappedButNotSetAsOutlook2007ContactExport,records,580,Virtual_Pass,10,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testMappedButNotSetAsOutlook2007ContactExport_records_L580_P_46/slice.log
testGetHeaderMap_records_L596_P_47,org.apache.commons.csv.CSVParserTest::testGetHeaderMap,org.apache.commons.csv.CSVParserTest,testGetHeaderMap,records,596,Virtual_Pass,103,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testGetHeaderMap_records_L596_P_47/slice.log
testGetHeaderMap_records_L603_P_48,org.apache.commons.csv.CSVParserTest::testGetHeaderMap,org.apache.commons.csv.CSVParserTest,testGetHeaderMap,records,603,Virtual_Pass,10,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testGetHeaderMap_records_L603_P_48/slice.log
