virtual_test_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,result
testCustomSerializerForLong_json_L217_P_29,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testCustomSerializerForLong_json_L223_P_30,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCustomByteArraySerializer_json_L273_P_31,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testCustomAdapterInvokedForCollectionElementSerializationWithType_json_L343_P_32,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testCustomAdapterInvokedForCollectionElementSerialization_json_L355_P_33,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testCustomAdapterInvokedForMapElementSerializationWithType_json_L381_P_34,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testCustomAdapterInvokedForMapElementSerialization_json_L393_P_35,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testEnsureCustomSerializerNotInvokedForNullValues_json_L415_P_36,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testLocaleSerializationWithLanguageCountryVariant_json_L155_P_37,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testBigIntegerFieldSerialization_json_L190_P_38,0,0,0,0,0,1,0,0,0,0,0,0,0,PASS
testSetSerialization_json_L205_P_39,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testSetSerialization_json_L208_P_40,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testDefaultDateSerialization_json_L214_P_41,0,0,0,0,0,1,0,0,0,0,0,0,0,PASS
testDefaultJavaSqlTimeSerialization_json_L268_P_42,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testDefaultDateSerializationUsingBuilder_json_L281_P_43,0,0,0,0,0,1,0,0,0,0,0,0,0,PASS
testDefaultCalendarSerialization_json_L295_P_44,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testDefaultCalendarSerialization_json_L296_P_45,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testDefaultCalendarSerialization_json_L297_P_46,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testDefaultCalendarSerialization_json_L298_P_47,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testDefaultCalendarSerialization_json_L299_P_48,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testDefaultCalendarSerialization_json_L300_P_49,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testDefaultGregorianCalendarSerialization_json_L319_P_50,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testDefaultGregorianCalendarSerialization_json_L320_P_51,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testDefaultGregorianCalendarSerialization_json_L321_P_52,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testDefaultGregorianCalendarSerialization_json_L322_P_53,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testDefaultGregorianCalendarSerialization_json_L323_P_54,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testDefaultGregorianCalendarSerialization_json_L324_P_55,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testDateSerializationWithPattern_json_L345_P_56,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testDateSerializationWithPatternNotOverridenByTypeAdapter_json_L376_P_57,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testPropertiesSerialization_json_L410_P_58,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testTreeSetSerialization_json_L423_P_59,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testExclusionStrategySerialization_json_L56_P_60,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testExclusionStrategySerialization_json_L57_P_61,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testExclusionStrategySerialization_json_L58_P_62,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testNullExposeFieldSerialization_json_L50_P_63,0,0,0,0,0,1,0,0,0,0,0,0,0,PASS
testArrayWithOneNullExposeFieldObjectSerialization_json_L66_P_64,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testNoExposedFieldSerialization_json_L87_P_65,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testBaseSerializedAsSub_json_L90_P_66,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testBaseSerializedAsSubForToJsonMethod_json_L96_P_67,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testBaseSerializedAsBaseWhenSpecifiedWithExplicitType_json_L102_P_68,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testBaseSerializedAsBaseWhenSpecifiedWithExplicitType_json_L103_P_69,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testBaseSerializedAsBaseWhenSpecifiedWithExplicitTypeForToJsonMethod_json_L109_P_70,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testBaseSerializedAsBaseWhenSpecifiedWithExplicitTypeForToJsonMethod_json_L110_P_71,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testBaseSerializedAsSubWhenSpecifiedWithExplicitType_json_L116_P_72,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testBaseSerializedAsSubWhenSpecifiedWithExplicitTypeForToJsonMethod_json_L122_P_73,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testToJsonTree_json_L34_P_74,0,1,1,1,1,0,0,0,0,0,0,1,1,PASS
testToJsonTreeObjectType_json_L47_P_75,0,0,0,1,1,0,0,0,0,0,0,1,1,PASS
testMapSerialization_json_L54_P_76,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testMapSerialization_json_L55_P_77,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testRawMapSerialization_json_L72_P_78,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testRawMapSerialization_json_L73_P_79,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testMapSerializationEmpty_json_L80_P_80,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testMapSerializationWithNullValue_json_L96_P_81,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testMapSerializationWithNullValueButSerializeNulls_json_L113_P_82,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testMapSerializationWithNullKey_json_L122_P_83,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testMapSerializationWithIntegerKeys_json_L138_P_84,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testParameterizedMapSubclassSerialization_json_L154_P_85,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testMapSubclassSerialization_json_L183_P_86,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testMapSerializationWithNullValues_json_L221_P_87,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testMapSerializationWithNullValues_json_L222_P_88,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testMapSerializationWithNullValuesSerialized_json_L234_P_89,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testMapSerializationWithNullValuesSerialized_json_L235_P_90,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testMapSerializationWithWildcardValues_json_L246_P_91,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testMapOfMapSerialization_json_L274_P_92,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testMapOfMapSerialization_json_L275_P_93,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testMapOfMapSerialization_json_L276_P_94,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testMapWithQuotes_json_L298_P_95,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testExplicitSerializationOfNullArrayMembers_json_L84_P_96,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testNullWrappedPrimitiveMemberSerialization_json_L94_P_97,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testExplicitSerializationOfNullCollectionMembers_json_L111_P_98,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testExplicitSerializationOfNullStringMembers_json_L118_P_99,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testCustomTypeAdapterPassesNullSerialization_json_L190_P_100,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testArrayOfObjectsAsFields_json_L199_P_101,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testArrayOfObjectsAsFields_json_L200_P_102,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testArrayOfObjectsAsFields_json_L201_P_103,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testClassWithObjectFieldSerialization_json_L278_P_104,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testInnerClassSerialization_json_L290_P_105,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testInnerClassSerialization_json_L291_P_106,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testStringFieldWithEmptyValueSerialization_json_L391_P_107,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testStringFieldWithEmptyValueSerialization_json_L392_P_108,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testStringFieldWithEmptyValueSerialization_json_L393_P_109,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testJsonObjectSerialization_json_L417_P_110,0,0,0,0,0,0,0,0,0,1,1,0,0,PASS
testParameterizedTypesSerialization_json_L58_P_111,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testTypesWithMultipleParametersSerialization_json_L84_P_112,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testParameterizedTypeWithCustomSerializer_json_L109_P_113,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testParameterizedTypeWithCustomSerializer_json_L113_P_114,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testVariableTypeFieldsAndGenericArraysSerialization_json_L174_P_115,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testVariableTypeFieldsAndGenericArraysDeserialization_json_L192_P_116,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testVariableTypeDeserialization_json_L202_P_117,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testVariableTypeArrayDeserialization_json_L214_P_118,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testParameterizedTypeWithVariableTypeDeserialization_json_L228_P_119,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testParameterizedTypeGenericArraysSerialization_json_L242_P_120,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testParameterizedTypeGenericArraysDeserialization_json_L258_P_121,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testDeepParameterizedTypeSerialization_json_L492_P_122,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testDeepParameterizedTypeSerialization_json_L493_P_123,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testPrettyPrintArrayOfPrimitives_json_L73_P_124,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testPrettyPrintArrayOfPrimitiveArrays_json_L80_P_125,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testPrettyPrintListOfPrimitiveArrays_json_L88_P_126,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testMap_json_L97_P_127,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testEmptyMapField_json_L105_P_128,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testMultipleArrays_json_L117_P_129,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testNumberSerialization_json_L148_P_130,0,0,0,0,0,1,0,0,0,0,0,0,0,PASS
testNumberSerialization_json_L151_P_131,0,0,0,0,0,1,0,0,0,0,0,0,0,PASS
testJsonObjectWithNullValues_json_L65_P_132,0,0,0,0,0,0,0,0,0,1,1,0,0,PASS
testJsonObjectWithNullValues_json_L66_P_133,0,0,0,0,0,0,0,0,0,1,1,0,0,PASS
testJsonObjectWithNullValuesSerialized_json_L75_P_134,0,0,0,0,0,0,0,0,0,1,1,0,0,PASS
testJsonObjectWithNullValuesSerialized_json_L76_P_135,0,0,0,0,0,0,0,0,0,1,1,0,0,PASS
testNonExecutableJsonSerialization_json_L47_P_136,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testJsonWithNonExectuableTokenSerialization_json_L60_P_137,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testEscapedCtrlNInStringSerialization_json_L42_P_138,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testEscapedCtrlRInStringSerialization_json_L54_P_139,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testEscapedBackslashInStringSerialization_json_L66_P_140,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testAssignmentCharSerialization_json_L119_P_141,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testJavascriptKeywordsInStringSerialization_json_L138_P_142,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testObjectEqualButNotSameSerialization_json_L64_P_143,0,0,0,0,0,1,0,0,0,0,0,0,0,PASS
testVersionedUntilSerialization_json_L50_P_144,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testVersionedUntilSerialization_json_L54_P_145,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testVersionedGsonMixingSinceAndUntilSerialization_json_L122_P_146,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testVersionedGsonMixingSinceAndUntilSerialization_json_L126_P_147,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testVersionedGsonMixingSinceAndUntilSerialization_json_L130_P_148,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
