virtual_test_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,result
testDayOfYearFragmentInLargerUnitWithDate_DateUtils_L205_P_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testDayOfYearFragmentInLargerUnitWithCalendar_DateUtils_L209_P_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testDateFragmentInLargerUnitWithDate_DateUtils_L213_P_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testDateFragmentInLargerUnitWithCalendar_DateUtils_L217_P_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testIsSameDay_Date_DateUtils_L156_P_33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testIsSameDay_Date_DateUtils_L158_P_34,1,1,1,1,1,1,0,0,0,0,0,0,0,0,PASS
testIsSameDay_Date_DateUtils_L160_P_35,0,0,0,0,1,1,0,0,0,0,0,0,0,0,PASS
testIsSameDay_Date_DateUtils_L162_P_36,1,1,1,1,1,1,0,0,0,0,0,0,0,0,PASS
testIsSameDay_Cal_DateUtils_L173_P_37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testIsSameDay_Cal_DateUtils_L175_P_38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,PASS
testIsSameDay_Cal_DateUtils_L177_P_39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,PASS
testIsSameDay_Cal_DateUtils_L179_P_40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,PASS
testIsSameInstant_Date_DateUtils_L190_P_41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testIsSameInstant_Date_DateUtils_L192_P_42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PASS
testIsSameInstant_Date_DateUtils_L194_P_43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PASS
testIsSameInstant_Date_DateUtils_L196_P_44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PASS
testIsSameInstant_Cal_DateUtils_L211_P_45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testIsSameInstant_Cal_DateUtils_L214_P_46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,PASS
