rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S1,BeanPointer.java,46,"super(null, locale);",1.0,77,77
1,S59,NamespaceResolver.java,36,protected HashMap namespaceMap = new HashMap();,1.0,77,77
1,S60,NamespaceResolver.java,42,public NamespaceResolver(NamespaceResolver parent) {,1.0,77,77
1,S61,NamespaceResolver.java,43,this.parent = parent;,1.0,77,77
1,S62,NodePointer.java,45,protected int index = WHOLE_COLLECTION;,1.0,77,77
1,S63,NodePointer.java,47,private boolean attribute = false;,1.0,77,77
1,S64,NodePointer.java,61,if (bean == null) {,1.0,77,77
1,S65,NodePointer.java,66,NodePointerFactory[] factories =,1.0,77,77
1,S66,NodePointer.java,68,for (int i = 0; i < factories.length; i++) {,1.0,77,77
1,S67,NodePointer.java,69,"pointer = factories[i].createNodePointer(name, bean, locale);",1.0,77,77
1,S68,NodePointer.java,71,return pointer;,1.0,77,77
1,S69,NodePointer.java,110,"protected NodePointer(NodePointer parent, Locale locale) {",1.0,77,77
1,S70,NodePointer.java,111,this.parent = parent;,1.0,77,77
1,S71,NodePointer.java,112,this.locale = locale;,1.0,77,77
1,S72,PropertyOwnerPointer.java,85,"super(parent, locale);",1.0,77,77
1,S73,PropertyOwnerPointer.java,99,private static final Object UNINITIALIZED = new Object();,1.0,77,77
1,S74,PropertyOwnerPointer.java,101,private Object value = UNINITIALIZED;,1.0,77,77
1,S75,QName.java,43,"public QName(String prefix, String localName) {",1.0,77,77
1,S76,QName.java,44,this.prefix = prefix;,1.0,77,77
1,S77,QName.java,45,this.name = localName;,1.0,77,77
