name,elapsed_s,status
Math_25b,310,OK
Math_19b,949,OK
Math_24b,500,OK
Math_30b,713,OK
Math_23b,562,OK
Math_20b,771,OK
Math_35b,430,OK
Math_34b,737,OK
Math_10b,11736,OK
Math_22b,1661,OK
Math_33b,2106,OK
Math_32b,2229,OK
Math_11b,3454,OK
Math_17b,3506,OK
Math_38b,806,OK
Math_18b,3971,OK
Math_36b,3056,OK
Math_26b,5048,OK
Math_27b,5247,OK
Math_40b,2460,OK
Math_21b,5724,OK
Math_42b,1412,OK
Math_39b,4454,OK
Math_41b,2940,OK
Math_44b,4133,OK
Math_48b,1614,OK
Math_49b,1881,OK
Math_43b,8114,OK
Math_45b,7028,OK
Math_50b,278,OK
Math_51b,1594,OK
Math_52b,1958,OK
Math_55b,1002,OK
Math_54b,3335,OK
Math_57b,1437,OK
Math_58b,1480,OK
Math_56b,7113,OK
Math_28b,25383,OK
Math_60b,4961,OK
Math_61b,3965,OK
Math_62b,1517,OK
Math_31b,30411,OK
Math_64b,1630,OK
Math_66b,6087,OK
Math_67b,2296,OK
Math_68b,1538,OK
Math_69b,3807,OK
Math_37b,46800,OK
Math_71b,2737,OK
Math_47b,44906,OK
Math_46b,46575,OK
Math_70b,8241,OK
Math_75b,175,OK
Math_72b,4489,OK
Math_73b,3542,OK
Math_76b,1999,OK
Math_16b,56344,OK
Math_13b,56345,OK
Math_59b,36705,OK
Math_78b,2382,OK
Math_81b,862,OK
Math_77b,4034,OK
Math_80b,3383,OK
Math_84b,2937,OK
Math_85b,1238,OK
Math_79b,9802,OK
Math_86b,195,OK
Math_53b,65509,OK
Math_89b,2045,OK
Math_90b,2059,OK
Math_91b,3196,OK
Math_92b,6139,OK
Math_65b,63134,OK
Math_74b,43867,OK
Math_95b,532,OK
Math_93b,5564,OK
Math_97b,2066,OK
Math_96b,2600,OK
Math_82b,42407,OK
Math_83b,42086,OK
Math_101b,19,FAIL
Math_102b,275,OK
Math_88b,36035,OK
Math_98b,1708,OK
Math_103b,322,OK
Math_105b,180,OK
Math_106b,270,OK
Math_87b,37102,OK
Math_104b,1322,OK
Math_100b,5446,OK
Math_94b,34375,OK
Math_99b,41710,OK
Math_15b,191397,OK
Math_63b,242963,OK
Compress_1b,217,OK
Compress_7b,448,OK
Compress_8b,465,OK
Compress_2b,479,OK
Compress_6b,599,OK
Compress_3b,602,OK
Compress_10b,368,OK
Compress_4b,1116,OK
Compress_5b,1264,OK
Compress_9b,1068,OK
Compress_14b,731,OK
Compress_15b,820,OK
Compress_11b,1181,OK
Compress_17b,801,OK
Compress_21b,438,OK
Compress_16b,1247,OK
Compress_23b,311,OK
Compress_18b,1341,OK
Compress_13b,2087,OK
Compress_12b,2270,OK
Compress_20b,1536,OK
Compress_24b,1054,OK
Compress_27b,1381,OK
Compress_19b,2787,OK
Compress_25b,2032,OK
Compress_26b,2195,OK
Compress_28b,2131,OK
Compress_31b,1282,OK
Compress_29b,2714,OK
Compress_33b,1551,OK
Compress_34b,1278,OK
Compress_36b,1019,OK
Compress_35b,1880,OK
Compress_40b,431,OK
Compress_30b,3640,OK
Compress_32b,4057,OK
Compress_38b,2388,OK
Compress_39b,2481,OK
Compress_44b,503,OK
Compress_22b,6757,OK
Compress_45b,1342,OK
Compress_46b,1584,OK
Compress_43b,3698,OK
Compress_42b,4493,OK
Compress_47b,3783,OK
Compress_41b,6708,OK
Compress_37b,15663,OK
