Project,BugID,Baseline_Time_(s),SBFL_Time_(s),Hybrid_Time_(s),Avg_Slice_Time_(s),Peak_Memory_(KB)
Codec,2b,4.341,285.297,451.245,19.907,581800.0
Codec,3b,5.117,572.623,7534.982,577.275,1142848.0
Codec,4b,5.374,412.465,535.872,0.0,465792.0
Codec,5b,5.434,475.899,793.282,29.247,683444.0
Codec,6b,5.246,60.035,81.132,0.0,461524.0
Codec,7b,5.501,489.778,6340.473,79.204,1498088.0
Codec,8b,5.595,495.359,697.994,28.061,676472.0
Codec,13b,11.555,1588.067,39861.764,42.394,1673256.0
Collections,25b,32.13,1765.178,8809.153,85.383,857832.0
Collections,26b,31.543,213.974,547.277,91.175,869448.0
Collections,27b,32.392,576.786,912.492,90.099,868764.0
Collections,28b,31.343,102.085,4608.344,99.264,912180.0
Csv,10b,7.282,913.002,3742.599,17.766,561684.0
Csv,11b,5.375,956.124,1953.813,17.869,560432.0
Codec,9b,6.004,514.202,25555.057,256.591,1365552.0
Csv,13b,10.184,1198.68,2382.418,18.946,1643532.0
Csv,12b,5.816,1025.514,8140.191,13.575,565152.0
Csv,14b,10.101,1359.722,5643.865,24.614,1654384.0
Csv,15b,11.776,1579.923,6443.484,26.882,1661500.0
Csv,16b,10.477,842.837,4216.783,28.75,1653180.0
Csv,1b,3.842,272.432,913.016,12.505,489140.0
Csv,2b,4.78,348.67,811.141,17.245,550048.0
Csv,4b,5.232,699.049,1426.593,17.963,568252.0
Csv,3b,4.887,433.679,2499.109,17.945,695272.0
Csv,5b,5.284,778.448,1096.712,17.672,552212.0
Csv,6b,5.276,602.708,817.832,18.266,548972.0
Csv,7b,5.029,820.666,1084.983,0.0,462384.0
Csv,9b,5.02,621.207,856.205,18.019,556088.0
Csv,8b,5.146,977.686,1971.825,17.866,559512.0
JacksonXml,2b,21.778,725.909,2841.427,21.262,1111828.0
JacksonXml,1b,20.837,896.817,3692.111,20.595,1193512.0
JacksonXml,3b,21.407,909.393,1791.184,21.393,1019696.0
JacksonXml,5b,26.092,1110.558,1504.446,23.195,1229384.0
JacksonXml,4b,22.107,931.433,3285.741,20.834,1283676.0
JacksonXml,6b,27.465,1191.541,4255.83,22.502,1202552.0
Jsoup,7b,4.432,87.347,118.36,0.0,176960.0
Jsoup,6b,4.731,218.229,69208.881,551.762,1370828.0
Chart,6b,18.193,4100.28,6409.195,114.132,1195320.0
Chart,7b,18.795,140.204,4156.969,110.529,1156000.0
Chart,8b,19.571,193.615,4539.094,113.123,1185888.0
Chart,9b,19.685,538.887,874.321,109.715,1131800.0
Chart,10b,18.882,14.47,246.007,112.689,1141928.0
Chart,5b,18.935,2495.926,17718.215,120.67,1190144.0
Chart,3b,21.115,744.334,21548.14,128.955,1240956.0
Chart,1b,20.858,3772.536,27059.377,141.582,1233220.0
Chart,4b,19.787,3690.247,27683.664,184.436,1210772.0
Chart,12b,20.376,1635.653,10050.003,136.498,1209480.0
Chart,11b,20.27,4438.45,11645.418,107.988,1184380.0
Chart,16b,18.27,210.879,3220.154,113.937,1251052.0
Chart,17b,17.989,501.822,3059.834,111.124,1169208.0
Chart,15b,17.823,1684.243,6417.353,156.558,1102512.0
Chart,14b,18.236,4388.114,12953.291,134.882,1198316.0
Chart,13b,18.779,1634.982,20665.981,113.151,1195044.0
Chart,19b,19.011,3062.441,11098.295,145.04,1246372.0
Chart,21b,18.441,143.957,3054.897,102.706,1122644.0
Chart,24b,18.335,126.907,375.418,109.09,1059240.0
Chart,25b,17.886,82.057,781.185,135.753,1098048.0
Chart,23b,17.386,46.89,1566.883,107.603,1114216.0
Chart,20b,18.681,2462.191,10854.73,104.897,1123872.0
Chart,22b,18.952,423.39,4404.968,99.644,1113252.0
Gson,3b,6.683,3453.766,5496.07,23.441,703052.0
Chart,18b,18.332,2642.752,23147.872,110.09,1245552.0
Gson,5b,6.803,45.987,111.094,24.962,689324.0
Gson,1b,5.132,2222.536,9834.479,18.135,683684.0
Chart,2b,21.238,4786.372,55736.533,129.028,1313544.0
Chart,26b,17.585,4450.136,13306.482,143.963,1156928.0
Gson,8b,7.022,2309.363,2982.212,25.989,674536.0
Gson,2b,6.789,3780.084,18659.821,22.171,704704.0
Gson,9b,7.251,4106.644,5543.784,24.747,694276.0
Gson,12b,7.287,4013.339,5229.329,25.367,672868.0
Gson,11b,7.743,3984.007,6047.201,22.997,712988.0
Gson,14b,7.523,39.843,54.833,0.047,362316.0
Gson,6b,7.306,3576.858,19652.474,23.153,711820.0
Gson,16b,7.641,48.631,64.561,0.0,314724.0
Gson,15b,7.916,4242.712,5653.931,27.007,686752.0
Gson,18b,7.0,151.772,247.08,26.374,672352.0
JacksonCore,1b,8.564,955.583,1218.041,21.232,656792.0
Gson,17b,7.263,3053.303,4239.0,25.76,695568.0
Gson,10b,7.3,3577.301,19894.815,22.412,711592.0
JacksonCore,2b,8.248,1039.28,1347.431,22.584,678260.0
JacksonCore,4b,9.625,1205.526,1513.475,23.657,678776.0
JacksonCore,3b,8.792,842.844,2018.071,23.772,688680.0
JacksonCore,5b,9.417,25.58,2149.971,24.566,696272.0
JacksonCore,7b,10.951,727.101,1028.728,27.582,696764.0
JacksonCore,6b,10.26,29.398,2248.091,24.225,689784.0
JacksonCore,8b,11.398,1240.52,2315.32,31.0,1347480.0
JacksonCore,9b,11.85,1435.645,1937.515,28.227,695000.0
JacksonCore,11b,11.623,1803.37,2274.736,35.77,794024.0
Gson,4b,6.843,4837.636,35291.553,28.451,1533596.0
JacksonCore,13b,10.679,1899.432,2422.291,32.172,753364.0
JacksonCore,15b,11.246,90.671,817.425,35.041,782288.0
JacksonCore,16b,13.997,15.476,673.126,32.499,726612.0
JacksonCore,17b,12.083,2022.688,2544.861,35.276,736700.0
JacksonCore,14b,11.169,1896.419,6973.91,30.33,764384.0
JacksonCore,12b,10.595,1864.188,10495.941,78.637,1410168.0
JacksonCore,18b,11.185,1976.188,2548.655,28.805,703380.0
JacksonCore,19b,11.46,2024.281,2567.493,30.939,710112.0
JacksonCore,20b,13.68,2525.501,4031.195,29.65,731908.0
JacksonCore,21b,16.208,108.203,3297.707,27.699,767704.0
JacksonCore,22b,19.033,124.423,5022.984,38.845,820332.0
JacksonCore,23b,21.182,3648.795,4595.485,41.385,785120.0
Gson,7b,6.911,4749.918,51516.433,42.51,1375096.0
JxPath,1b,6.499,881.794,1234.935,28.901,753288.0
JacksonCore,26b,19.643,3535.616,5053.717,39.096,796924.0
JxPath,2b,6.887,845.581,1125.385,25.028,755156.0
JxPath,3b,6.491,837.067,1226.383,33.656,898364.0
JxPath,4b,7.776,923.282,1314.213,22.961,678848.0
JxPath,5b,8.373,995.376,1419.644,22.035,672064.0
JxPath,6b,8.393,1014.968,1448.548,21.375,669216.0
JxPath,7b,8.274,221.958,426.56,20.844,669396.0
JxPath,8b,8.071,225.29,437.83,21.605,673352.0
Gson,13b,7.407,4727.461,42471.896,42.043,1377360.0
JxPath,11b,8.871,193.205,252.512,0.0,380292.0
JxPath,10b,7.903,230.875,479.229,23.195,702696.0
JxPath,9b,8.216,1033.195,1485.383,24.294,694544.0
JxPath,12b,8.344,1052.915,1367.421,23.828,665360.0
JxPath,13b,8.112,1052.17,1365.802,22.868,666800.0
JxPath,14b,8.455,715.087,1222.816,44.587,868576.0
JxPath,17b,9.099,211.683,273.529,0.0,376048.0
JxPath,15b,8.333,1089.421,1387.64,0.0,377316.0
JxPath,16b,9.611,1120.159,1426.424,0.0,383164.0
JxPath,20b,10.245,239.884,449.644,20.837,674328.0
JxPath,18b,8.861,1142.243,1447.248,0.0,380852.0
JxPath,19b,9.46,1205.449,1580.949,23.028,665456.0
JxPath,21b,10.165,1139.331,1768.392,22.986,694976.0
JxPath,22b,10.478,1311.756,1683.831,23.109,657800.0
Lang,4b,26.733,913.005,1138.764,0.0,1359848.0
Lang,5b,27.754,88.601,180.619,67.539,1358940.0
Lang,6b,26.987,935.289,6364.084,64.069,1316116.0
JacksonCore,10b,10.588,1826.021,45130.558,201.31,1418292.0
Lang,8b,24.803,740.474,1063.839,65.841,1355252.0
Lang,9b,23.903,825.685,1105.96,60.436,1361592.0
Lang,10b,22.684,819.171,1100.656,63.031,1385924.0
Lang,11b,23.033,64.45,84.491,0.0,1284052.0
Lang,12b,22.144,58.962,313.03,58.67,1287536.0
Lang,3b,24.717,1123.294,15228.262,58.774,1355808.0
Lang,13b,23.033,970.573,1330.227,57.677,1283024.0
Lang,1b,24.203,1125.394,16596.818,58.87,1357952.0
Lang,15b,18.687,67.535,14148.982,55.52,1234336.0
Lang,17b,15.138,285.936,830.53,52.255,869504.0
Lang,18b,15.196,560.272,3406.42,51.763,883908.0
Lang,19b,14.149,192.965,398.923,39.105,798964.0
JacksonCore,25b,19.901,3509.986,49856.135,57.864,1417764.0
Lang,21b,14.06,700.01,6241.136,49.699,898028.0
Lang,7b,26.671,1061.69,33099.675,60.131,1350252.0
Lang,23b,14.396,61.956,82.159,0.0,436032.0
Lang,24b,14.043,680.2,846.815,0.0,358088.0
Lang,16b,15.068,1018.836,26744.076,55.934,922776.0
Lang,25b,14.061,191.141,240.213,0.0,348572.0
Lang,26b,13.221,568.903,1041.477,47.859,828680.0
Lang,28b,13.887,122.065,1042.454,59.152,1407788.0
Lang,27b,14.457,693.741,5311.167,45.843,830288.0
JacksonCore,24b,22.682,3503.805,71212.608,86.23,1465772.0
Lang,29b,13.473,3962.407,34511.78,42.845,904960.0
Lang,32b,13.787,277.374,2057.44,48.811,798596.0
Lang,33b,13.847,1566.178,30437.698,46.892,819832.0
Lang,34b,13.609,2072.443,8219.948,46.129,799028.0
Lang,36b,11.865,661.826,4737.382,44.421,822880.0
Lang,35b,13.021,4708.029,5908.113,48.062,794880.0
Lang,38b,12.717,357.097,540.122,46.889,801660.0
Lang,37b,11.761,3887.939,4922.976,40.013,808292.0
Lang,40b,11.784,3096.652,3947.564,50.973,805976.0
Lang,41b,12.047,1575.154,21817.367,51.102,841160.0
Lang,42b,20.833,368.864,1296.102,63.588,927608.0
Lang,43b,37.605,92.452,7018.149,404.765,2610668.0
Lang,44b,21.446,138.371,18967.575,62.173,951228.0
Lang,45b,19.024,534.521,32384.146,60.332,967812.0
Lang,46b,18.513,568.484,2002.713,58.536,912528.0
Lang,31b,13.363,3720.167,174687.581,50.053,1238388.0
Lang,14b,18.901,5331.152,216382.515,58.834,1262668.0
Lang,30b,13.649,3707.841,183793.572,49.719,1220144.0
Lang,49b,18.417,168.264,2481.578,58.136,926260.0
Lang,50b,19.278,247.853,4899.283,58.008,902896.0
Lang,52b,19.891,510.503,4318.986,62.388,889620.0
Lang,20b,14.01,4222.762,213729.787,53.234,1246412.0
Lang,54b,20.19,87.078,180.073,66.008,782148.0
Lang,55b,20.546,50.108,290.022,55.148,900572.0
Lang,56b,19.963,236.752,1589.772,61.234,876960.0
Lang,57b,20.439,80.749,103.874,0.0,546400.0
Lang,53b,20.394,216.107,10191.123,60.742,910512.0
Lang,51b,18.657,1308.819,24843.91,60.417,921804.0
Lang,60b,19.06,1288.72,1619.674,0.0,536620.0
Lang,58b,18.793,1376.136,35230.475,59.521,913768.0
Lang,62b,18.809,307.818,1152.4,54.305,801628.0
Lang,63b,18.752,107.22,258.999,58.485,798412.0
Lang,64b,18.177,481.858,662.319,56.979,812392.0
Lang,65b,17.668,188.137,591.88,58.494,818692.0
Lang,39b,12.652,3405.208,162907.926,51.692,1227056.0
Math,2b,428.799,115.102,175.188,0.0,2017260.0
Math,1b,427.874,3895.417,6702.728,285.593,2004428.0
Math,4b,425.087,621.629,11445.259,292.157,2028340.0
Lang,48b,19.631,1815.687,82288.02,61.099,939960.0
Lang,47b,19.371,1349.834,100587.183,61.737,942144.0
Lang,59b,20.386,1169.79,86933.424,56.966,934724.0
Math,5b,2400.206,2045.103,35832.799,269.57,1452272.0
Lang,61b,16.886,1078.602,87011.706,56.18,912788.0
Math,6b,147.384,2691.722,156031.047,365.787,1447976.0
Math,8b,1143.884,262.402,2015.503,271.12,1415580.0
Math,12b,126.126,5568.745,6981.217,0.0,1523780.0
Math,9b,2400.207,428.624,1166.11,276.55,1419868.0
Math,14b,125.15,752.837,14859.927,309.21,3706884.0
Math,3b,430.377,14829.337,72734.848,277.566,1996708.0
Math,29b,94.962,68.3,95.047,0.0,1062012.0
Math,25b,111.849,131.008,181.464,0.0,1176716.0
Math,19b,71.2,423.329,842.739,167.967,1456296.0
Math,24b,107.429,278.347,367.573,0.0,1198184.0
Math,30b,89.995,66.926,607.456,518.747,1496920.0
Math,23b,110.445,314.89,421.527,0.0,666000.0
Math,20b,119.942,450.234,613.658,0.0,659544.0
Math,35b,104.598,226.392,303.172,0.0,1134256.0
Math,34b,108.558,439.382,593.754,0.0,1049112.0
Math,10b,2400.209,4263.433,8966.58,272.949,1418700.0
Math,22b,115.735,1095.71,1460.769,0.0,665120.0
Math,33b,111.721,487.812,1951.743,255.961,1224864.0
Math,32b,95.164,396.75,2101.162,313.734,1434312.0
Math,11b,2400.215,176.597,1030.09,371.077,1422872.0
Math,17b,72.198,1609.149,3326.71,286.503,1443836.0
Math,38b,77.553,333.893,696.152,237.102,1291408.0
Math,18b,69.374,413.655,3867.919,336.888,1463500.0
Math,36b,108.39,1375.76,2840.275,229.446,1283172.0
Math,26b,111.29,3250.918,4700.756,240.499,1280668.0
Math,27b,112.112,3177.753,4899.149,260.369,1240492.0
Math,40b,64.849,1125.799,2305.026,203.147,1283880.0
Math,21b,121.831,217.384,5575.574,276.936,1221088.0
Math,42b,60.454,371.99,1318.535,206.384,1271372.0
Math,39b,72.478,942.52,4307.211,198.809,1279888.0
Math,41b,63.092,2089.641,2720.014,0.0,1027552.0
Math,44b,64.828,1820.747,3927.285,193.694,1325228.0
Math,48b,154.549,80.877,1446.511,266.45,1428728.0
Math,49b,151.343,492.051,1691.002,206.312,1423000.0
Math,43b,60.377,726.498,7996.974,195.339,1297716.0
Math,45b,62.731,5088.989,6592.701,0.0,1013132.0
Math,50b,154.86,83.501,112.018,0.0,1203424.0
Math,51b,148.2,80.974,1434.726,264.19,1438464.0
Math,52b,141.205,398.742,1786.505,251.771,1439812.0
Math,55b,126.334,429.009,844.92,138.904,1106556.0
Math,54b,130.636,921.068,3149.623,385.446,1344972.0
Math,57b,127.2,61.572,1299.787,242.732,1428020.0
Math,58b,136.9,129.185,1328.397,230.555,1428464.0
Math,56b,117.089,75.308,6984.789,229.192,1436668.0
Math,28b,110.269,384.486,25236.21,232.897,1439260.0
Math,60b,120.717,204.636,4823.569,227.625,1431052.0
Math,61b,115.96,92.456,3837.206,246.987,1426780.0
Math,62b,115.927,35.077,1392.525,267.802,1424064.0
Math,31b,90.669,3247.167,30091.477,442.143,1334064.0
Math,64b,26.556,725.315,1556.359,149.43,1074496.0
Math,66b,24.579,144.779,6045.706,146.106,1079688.0
Math,67b,26.445,32.794,2258.205,157.507,1114784.0
Math,68b,26.224,607.721,1473.534,132.148,1081204.0
Math,69b,27.494,201.491,3760.721,151.244,1079736.0
Math,37b,102.873,2620.351,46507.564,206.937,1365988.0
Math,71b,27.415,1549.254,2629.255,140.63,985496.0
Math,47b,155.477,2035.798,44612.785,229.337,1457232.0
Math,46b,155.031,2016.109,46284.859,228.625,1449900.0
Math,70b,24.741,199.221,8197.863,134.113,1104244.0
Math,75b,21.585,104.299,142.206,0.0,506540.0
Math,72b,25.052,2433.873,4334.13,107.121,990804.0
Math,73b,24.435,2428.517,3386.539,126.946,930036.0
Math,76b,23.485,208.642,1956.038,128.296,982564.0
Math,13b,126.852,2561.125,56027.636,1183.803,3805080.0
Math,16b,77.197,33078.226,53167.558,256.883,1513028.0
Math,59b,121.446,20477.011,35259.525,202.446,1373792.0
Math,78b,22.924,1194.221,2289.81,111.527,980124.0
Math,81b,16.654,357.618,820.786,113.449,977276.0
Math,77b,22.086,2845.756,3850.739,0.0,534328.0
Math,80b,18.014,371.946,3338.54,129.236,1296788.0
Math,84b,18.221,53.052,2909.597,117.951,1059820.0
Math,85b,16.169,718.993,1180.225,114.248,1051284.0
Math,79b,19.772,6829.841,9398.349,116.326,986648.0
Math,86b,14.738,126.511,169.174,0.0,451068.0
Math,53b,123.674,1465.443,65293.011,213.698,1448536.0
Math,89b,16.572,78.705,2017.818,86.627,989932.0
Math,90b,16.343,79.215,2031.896,80.004,973580.0
Math,91b,15.917,652.464,3147.341,87.301,993232.0
Math,92b,17.997,3884.745,5979.086,412.535,1475968.0
Math,65b,25.795,1376.697,63031.372,222.084,1542728.0
Math,74b,21.066,722.092,43800.405,214.184,1435488.0
Math,95b,14.826,177.456,504.672,66.162,972820.0
Math,93b,16.775,3803.517,5403.295,72.219,862960.0
Math,97b,15.223,1017.548,2018.992,53.959,767968.0
Math,96b,14.157,928.789,2553.61,59.417,755128.0
Math,82b,17.308,137.758,42375.242,110.992,1221728.0
Math,83b,17.494,168.468,42051.915,111.507,1223992.0
Math,102b,13.98,178.079,251.916,0.0,330840.0
Math,88b,17.019,152.697,36003.204,102.541,1215720.0
Math,98b,14.045,1019.144,1662.213,49.26,754348.0
Math,103b,14.823,125.144,296.802,58.355,831356.0
Math,105b,11.676,87.844,161.152,30.331,668588.0
Math,106b,10.469,151.416,250.937,31.775,673844.0
Math,87b,17.98,147.399,37070.16,101.815,1214140.0
Math,104b,14.206,868.701,1284.628,42.916,738080.0
Math,100b,14.718,428.018,5416.902,77.253,1429420.0
Math,94b,16.531,2822.442,34259.949,55.226,894344.0
Math,99b,12.148,2884.503,41596.076,59.862,1414348.0
Math,15b,76.221,17522.954,189718.025,219.084,1483412.0
Math,63b,105.879,5286.061,242583.764,154.595,1451312.0
Compress,1b,3.496,134.63,206.398,15.947,621404.0
Compress,7b,4.049,324.844,433.995,19.57,600544.0
Compress,8b,4.07,338.109,450.316,19.235,605380.0
Compress,2b,3.504,286.967,465.049,16.288,604916.0
Compress,6b,3.937,423.137,583.61,14.428,600064.0
Compress,3b,3.728,446.723,585.939,17.692,609648.0
Compress,10b,5.356,196.185,354.516,20.393,629840.0
Compress,4b,3.746,444.654,1100.115,13.287,655596.0
Compress,5b,4.073,538.989,1246.334,12.974,653920.0
Compress,9b,4.892,763.339,1038.311,18.034,650008.0
Compress,14b,5.432,476.816,710.319,20.693,660032.0
Compress,15b,5.501,582.332,793.725,28.481,652636.0
Compress,11b,5.188,881.025,1147.662,26.286,662640.0
Compress,17b,5.349,586.725,774.385,30.332,675220.0
Compress,21b,6.915,91.01,424.061,33.874,737532.0
Compress,16b,5.415,933.324,1209.745,30.596,681776.0
Compress,23b,7.489,146.716,295.317,35.451,749480.0
Compress,18b,5.627,980.466,1303.563,30.468,687804.0
Compress,13b,5.644,569.204,2063.066,21.258,786288.0
Compress,12b,5.603,917.555,2235.566,26.72,770912.0
Compress,20b,5.343,1077.938,1487.812,24.708,662028.0
Compress,24b,9.687,750.196,1013.117,36.1,746360.0
Compress,27b,10.101,750.224,1340.99,38.737,832904.0
Compress,19b,5.537,757.931,2752.078,24.497,733348.0
Compress,25b,9.281,1456.601,1964.481,24.772,789548.0
Compress,26b,10.691,1546.387,2119.17,38.925,1089248.0
Compress,28b,10.58,1612.694,2057.696,0.0,803292.0
Compress,31b,14.142,829.956,1232.761,31.573,1153916.0
Compress,29b,14.068,1833.989,2619.046,28.403,1199056.0
Compress,33b,14.828,251.018,1524.331,30.139,1029496.0
Compress,34b,14.328,905.649,1225.218,40.442,1180264.0
Compress,36b,14.565,632.62,975.791,33.205,1089944.0
Compress,35b,15.188,861.056,1825.028,33.26,1066280.0
Compress,40b,13.857,317.518,401.585,0.0,1160888.0
Compress,30b,13.78,586.973,3600.743,286.034,1242812.0
Compress,32b,14.088,1840.659,3962.675,45.969,1258004.0
Compress,38b,13.702,818.556,2338.363,36.363,1159800.0
Compress,39b,13.984,1023.705,2420.594,43.602,1090684.0
Compress,44b,35.842,353.262,448.028,0.0,1208772.0
Compress,22b,7.087,413.237,6730.631,890.051,1005888.0
Compress,45b,37.364,947.441,1256.463,56.773,1261916.0
Compress,46b,36.015,1138.656,1489.463,53.959,1225476.0
Compress,43b,38.004,2755.266,3514.447,0.0,1302244.0
Compress,42b,23.161,1070.3,4421.148,43.146,1149408.0
Compress,47b,33.085,2576.336,3620.113,52.039,1288628.0
Compress,41b,14.954,1979.339,6596.642,36.674,1059348.0
Compress,37b,14.01,1873.271,15561.89,39.874,1080112.0
