project,bug_id,full_execution_size,passing_TC_size,failing_TC_size,union_passing_slice,union_failing_slice,union_all_slice,all_reduction_ratio
Csv,13b,609,609,112,1,59,59,0.90312
Csv,12b,563,563,185,139,1,140,0.751332
Csv,14b,648,648,111,50,32,50,0.92284
Csv,15b,703,703,137,51,7,51,0.927454
Csv,16b,608,608,209,215,105,216,0.644737
Csv,1b,359,359,138,119,94,119,0.668524
Csv,2b,428,428,9,8,5,8,0.981308
Csv,4b,524,524,90,128,42,128,0.755725
Csv,3b,443,439,215,204,148,211,0.523702
Csv,5b,536,536,80,0,2,2,0.996269
Csv,6b,482,482,189,0,103,103,0.786307
Csv,7b,540,540,175,0,0,0,1.0
Csv,9b,486,486,174,0,0,0,1.0
Csv,8b,554,553,51,1,1,1,0.998195
JacksonXml,2b,1167,1167,319,125,4,125,0.892888
JacksonXml,1b,1198,1194,395,120,107,124,0.896494
JacksonXml,3b,1209,1206,153,121,60,125,0.896609
JacksonXml,5b,1328,1328,333,0,54,54,0.959337
JacksonXml,4b,1233,1228,288,53,4,53,0.957015
JacksonXml,6b,1334,1330,300,65,4,65,0.951274
Jsoup,7b,1083,1083,0,0,0,0,1.0
Jsoup,6b,1072,1072,551,0,0,0,1.0
Chart,6b,13455,13441,115,13,12,13,0.999034
Chart,7b,396,396,101,68,68,71,0.820707
Chart,8b,95,95,44,52,33,52,0.452632
Chart,9b,6456,6456,169,0,2,2,0.99969
Chart,10b,2,0,2,0,1,1,0.5
Chart,5b,9294,9294,43,59,30,59,0.993652
Chart,3b,7320,7320,120,220,92,233,0.968169
Chart,1b,15150,15149,546,764,195,833,0.945017
Chart,4b,15206,15107,2088,860,356,1034,0.932001
Chart,12b,11238,11237,453,598,237,717,0.936199
Chart,11b,16260,16260,19,57,18,57,0.996494
Chart,16b,3369,3366,41,64,15,65,0.980706
Chart,17b,6375,6375,83,67,0,67,0.98949
Chart,15b,11201,11199,995,0,9,9,0.999197
Chart,14b,14792,14766,456,572,46,602,0.959302
Chart,13b,11808,11742,243,128,56,144,0.987805
Chart,19b,13155,13149,657,533,280,586,0.955454
Chart,21b,3942,3937,112,47,4,48,0.987823
Chart,24b,1202,1198,9,0,6,6,0.995008
Chart,25b,3503,3306,3078,0,362,362,0.89666
Chart,23b,3194,3187,256,5,29,30,0.990607
Chart,20b,12816,12816,69,67,35,69,0.994616
Chart,22b,4542,4514,101,48,36,63,0.986129
Gson,3b,2615,2615,537,183,47,205,0.921606
Chart,18b,10880,10865,73,194,41,196,0.981985
Gson,5b,130,95,124,0,12,12,0.907692
Gson,1b,1816,1815,423,13,1,13,0.992841
Chart,2b,16684,16631,136,1166,9,1167,0.930053
Chart,26b,14297,13915,5128,229,147,367,0.97433
Gson,8b,2374,2374,8,0,1,1,0.999579
Gson,2b,2656,2656,342,365,1,365,0.862575
Gson,9b,2753,2753,232,51,0,51,0.981475
Gson,12b,2803,2802,348,0,22,22,0.992151
Gson,11b,2796,2796,328,156,1,157,0.943848
Gson,14b,560,0,560,0,0,0,1.0
Gson,6b,2672,2672,395,369,179,369,0.861901
Gson,16b,559,559,410,0,0,0,1.0
Gson,15b,2938,2938,216,51,19,51,0.982641
Gson,18b,1307,1257,801,0,0,0,1.0
JacksonCore,1b,4992,4989,409,0,0,0,1.0
Gson,17b,2719,2718,105,208,6,213,0.921662
Gson,10b,2698,2698,526,188,4,188,0.930319
JacksonCore,2b,5302,5302,548,0,0,0,1.0
JacksonCore,4b,5523,5523,40,0,30,30,0.994568
JacksonCore,3b,4575,4575,416,361,232,364,0.920437
JacksonCore,5b,77,76,42,29,0,29,0.623377
JacksonCore,7b,4649,4649,427,0,7,7,0.998494
JacksonCore,6b,76,76,45,39,29,47,0.381579
JacksonCore,8b,6024,6024,21,132,17,142,0.976428
JacksonCore,9b,6373,6365,728,0,95,95,0.985093
JacksonCore,11b,7226,7218,696,0,0,0,1.0
Gson,4b,2842,2841,273,557,22,565,0.801196
JacksonCore,13b,7049,7044,557,0,7,7,0.999007
JacksonCore,15b,1247,1247,865,7,0,7,0.994387
JacksonCore,16b,542,485,517,206,220,237,0.562731
JacksonCore,17b,7075,7071,374,0,0,0,1.0
JacksonCore,14b,7143,7142,26,258,20,258,0.963881
JacksonCore,12b,7031,7031,441,488,217,512,0.92718
JacksonCore,18b,7136,7129,366,0,1,1,0.99986
JacksonCore,19b,7124,7124,410,0,119,119,0.983296
JacksonCore,20b,8781,8779,328,103,94,114,0.987017
JacksonCore,21b,1268,1231,963,0,427,427,0.663249
JacksonCore,22b,1345,1234,1184,446,544,555,0.587361
JacksonCore,23b,11067,11066,524,0,0,0,1.0
Gson,7b,2815,2815,550,645,86,645,0.77087
JxPath,1b,5470,5398,1695,0,75,75,0.986289
JacksonCore,26b,11137,11137,594,432,168,489,0.956092
JxPath,2b,5484,5467,1976,0,77,77,0.985959
JxPath,3b,5460,5456,1048,0,0,0,1.0
JxPath,4b,5391,5391,1540,0,0,0,1.0
JxPath,5b,5447,5412,1413,0,7,7,0.998715
JxPath,6b,5521,5521,960,0,0,0,1.0
JxPath,7b,4006,3992,746,0,0,0,1.0
JxPath,8b,4025,4015,844,0,0,0,1.0
Gson,13b,2904,2904,302,493,81,495,0.829545
JxPath,11b,2893,2893,0,0,0,0,1.0
JxPath,10b,4078,4071,1322,0,0,0,1.0
JxPath,9b,5550,5540,945,0,0,0,1.0
JxPath,12b,5603,5591,1295,0,0,0,1.0
JxPath,13b,5639,5598,1357,0,0,0,1.0
JxPath,14b,5321,5152,2493,0,0,0,1.0
JxPath,17b,3019,3019,0,0,0,0,1.0
JxPath,15b,5653,5653,0,0,0,0,1.0
JxPath,16b,5676,5676,0,0,0,0,1.0
JxPath,20b,3898,3897,884,0,0,0,1.0
JxPath,18b,5688,5688,0,0,0,0,1.0
JxPath,19b,5641,5587,1387,0,0,0,1.0
JxPath,21b,5608,5605,1803,0,0,0,1.0
JxPath,22b,5799,5722,1182,0,0,0,1.0
Lang,4b,1589,1589,22,0,0,0,1.0
Lang,5b,187,187,15,0,0,0,1.0
Lang,6b,1583,1583,126,127,0,127,0.919773
JacksonCore,10b,7219,7210,863,981,412,1015,0.859399
Lang,8b,1151,1146,283,0,0,0,1.0
Lang,9b,1206,1205,89,0,0,0,1.0
Lang,10b,1209,1208,137,0,0,0,1.0
Lang,11b,51,51,11,0,0,0,1.0
Lang,12b,46,45,17,0,0,0,1.0
Lang,3b,942,942,56,88,16,90,0.904459
Lang,13b,982,977,27,0,0,0,1.0
Lang,1b,944,944,38,90,12,90,0.904661
Lang,15b,470,294,410,124,36,124,0.73617
Lang,17b,678,678,124,35,0,35,0.948378
Lang,18b,967,957,242,108,64,120,0.875905
Lang,19b,633,633,25,0,2,2,0.99684
JacksonCore,25b,10914,10901,598,1931,184,1934,0.822796
Lang,21b,634,632,4,14,0,14,0.977918
Lang,7b,949,943,214,26,62,82,0.913593
Lang,23b,263,263,124,0,0,0,1.0
Lang,24b,918,853,160,0,0,0,1.0
Lang,16b,962,962,98,12,39,51,0.946985
Lang,25b,620,620,16,0,0,0,1.0
Lang,26b,973,971,119,84,62,100,0.897225
Lang,28b,251,251,29,53,18,62,0.752988
Lang,27b,906,786,213,14,52,61,0.932671
JacksonCore,24b,11083,11068,981,1911,379,1912,0.827484
Lang,29b,3884,3883,136,30,0,30,0.992276
Lang,32b,194,193,69,38,2,38,0.804124
Lang,33b,1353,1345,56,191,8,198,0.853659
Lang,34b,1963,1940,394,1,0,1,0.999491
Lang,36b,894,799,254,14,52,61,0.931767
Lang,35b,4773,4771,27,0,8,8,0.998324
Lang,38b,699,695,146,0,26,26,0.962804
Lang,37b,4428,4428,26,0,7,7,0.998419
Lang,40b,4091,4091,4,0,0,0,1.0
Lang,41b,1336,1334,47,165,16,170,0.872754
Lang,42b,447,447,131,0,0,0,1.0
Lang,43b,231,225,27,77,0,77,0.666667
Lang,44b,233,233,20,22,0,22,0.905579
Lang,45b,1130,1107,24,110,22,132,0.883186
Lang,46b,1229,1229,21,44,11,55,0.955248
Lang,31b,4188,4188,32,842,8,842,0.798949
Lang,14b,5340,5340,5,911,3,911,0.829401
Lang,30b,4209,4209,72,848,35,848,0.798527
Lang,49b,256,252,45,0,24,24,0.90625
Lang,50b,597,561,189,111,139,168,0.718593
Lang,52b,1010,1007,26,155,15,168,0.833663
Lang,20b,4251,4250,46,912,14,914,0.784992
Lang,54b,166,166,18,0,0,0,1.0
Lang,55b,154,154,18,5,7,7,0.954545
Lang,56b,585,541,151,25,15,25,0.957265
Lang,57b,5,0,5,0,0,0,1.0
Lang,53b,524,524,40,0,0,0,1.0
Lang,51b,1043,1024,19,106,17,123,0.882071
Lang,60b,1324,1324,57,0,0,0,1.0
Lang,58b,1283,1283,49,139,0,139,0.89166
Lang,62b,429,429,90,0,0,0,1.0
Lang,63b,495,488,113,0,0,0,1.0
Lang,64b,161,161,38,0,0,0,1.0
Lang,65b,502,502,23,0,13,13,0.974104
Lang,39b,4084,4081,51,773,26,797,0.804848
Math,2b,659,630,126,0,0,0,1.0
Math,1b,6315,6295,545,0,0,0,1.0
Math,4b,1770,1770,286,1,1,1,0.999435
Lang,48b,2270,2270,11,288,8,288,0.873128
Lang,47b,1370,1370,32,397,3,397,0.710219
Lang,59b,1324,1324,11,373,2,373,0.718278
Math,5b,2619,2611,25,20,8,20,0.992363
Lang,61b,1324,1324,60,373,31,373,0.718278
Math,6b,4455,4322,2178,1109,55,1111,0.750617
Math,8b,609,604,113,0,46,46,0.924466
Math,12b,9476,9476,0,0,0,0,1.0
Math,9b,1642,1638,108,0,17,17,0.989647
Math,14b,2551,2551,130,0,0,0,1.0
Math,3b,19999,19993,24,47,0,47,0.99765
Math,29b,184,184,0,0,0,0,1.0
Math,25b,1124,1115,161,0,0,0,1.0
Math,19b,1555,1525,744,0,46,46,0.970418
Math,24b,1125,1094,293,0,0,0,1.0
Math,30b,689,686,331,0,57,57,0.917271
Math,23b,1130,1130,286,0,0,0,1.0
Math,20b,1526,1519,1003,0,0,0,1.0
Math,35b,534,534,14,0,0,0,1.0
Math,34b,564,564,26,0,0,0,1.0
Math,10b,6138,6138,326,0,0,0,1.0
Math,22b,2846,2846,0,0,0,0,1.0
Math,33b,803,803,362,236,4,236,0.706102
Math,32b,1621,1612,1306,0,0,0,1.0
Math,11b,1460,1438,523,0,35,35,0.976027
Math,17b,3585,3554,703,0,0,0,1.0
Math,38b,1511,1489,261,0,0,0,1.0
Math,18b,1544,1541,1044,0,0,0,1.0
Math,36b,2905,2905,353,0,10,10,0.996558
Math,26b,2923,2920,438,0,0,0,1.0
Math,27b,2923,2923,65,0,3,3,0.998974
Math,40b,2328,2309,500,111,2,113,0.95146
Math,21b,1133,1128,190,0,86,86,0.924095
Math,42b,787,787,336,226,106,227,0.711563
Math,39b,3380,3371,465,0,0,0,1.0
Math,41b,4115,4115,0,0,0,0,1.0
Math,44b,3597,3597,743,0,0,0,1.0
Math,48b,1405,1052,710,0,0,0,1.0
Math,49b,2292,2281,713,0,0,0,1.0
Math,43b,2498,2494,306,23,20,42,0.983187
Math,45b,8396,8396,43,0,0,0,1.0
Math,50b,1061,1052,370,0,0,0,1.0
Math,51b,1406,1052,714,0,0,0,1.0
Math,52b,2453,2453,399,0,0,0,1.0
Math,55b,1380,1380,33,0,5,5,0.996377
Math,54b,2936,2936,679,0,0,0,1.0
Math,57b,449,446,348,0,0,0,1.0
Math,58b,1158,1014,1141,0,0,0,1.0
Math,56b,668,641,345,0,0,0,1.0
Math,28b,773,743,708,260,0,260,0.663648
Math,60b,1018,997,751,0,0,0,1.0
Math,61b,805,533,579,0,0,0,1.0
Math,62b,560,560,448,0,0,0,1.0
Math,31b,2677,2649,797,174,0,174,0.935002
Math,64b,1276,1276,361,0,0,0,1.0
Math,66b,762,547,578,93,146,155,0.796588
Math,67b,413,133,410,64,99,100,0.757869
Math,68b,881,881,357,0,0,0,1.0
Math,69b,515,514,231,90,35,98,0.809709
Math,37b,1449,1447,259,53,6,53,0.963423
Math,71b,2040,2038,443,0,284,284,0.860784
Math,47b,1635,1634,392,10,6,11,0.993272
Math,46b,1636,1635,342,11,7,11,0.993276
Math,70b,68,67,25,51,13,51,0.25
Math,75b,102,100,46,0,0,0,1.0
Math,72b,2930,2926,58,67,48,109,0.962799
Math,73b,2927,2925,84,0,0,0,1.0
Math,76b,971,971,511,99,88,109,0.887745
Math,13b,2880,2880,181,0,0,0,1.0
Math,16b,24946,24940,693,0,0,0,1.0
Math,59b,17957,17955,991,0,0,0,1.0
Math,78b,2184,2172,167,0,104,104,0.952381
Math,81b,1442,1442,435,0,0,0,1.0
Math,77b,4309,4284,121,0,0,0,1.0
Math,80b,1474,1443,584,5,5,5,0.996608
Math,84b,156,143,130,59,64,70,0.551282
Math,85b,610,585,106,0,9,9,0.985246
Math,79b,7914,7914,119,69,2,69,0.991281
Math,86b,411,394,187,0,0,0,1.0
Math,53b,1609,1609,18,34,10,34,0.978869
Math,89b,93,93,3,41,2,42,0.548387
Math,90b,92,92,7,41,2,42,0.543478
Math,91b,1306,1303,38,3,6,7,0.99464
Math,92b,4911,4911,28,0,7,7,0.998575
Math,65b,1674,1626,383,360,0,360,0.784946
Math,74b,1594,1594,992,249,0,249,0.843789
Math,95b,683,682,88,133,8,133,0.805271
Math,93b,4906,4905,11,0,0,0,1.0
Math,97b,1535,1535,43,91,29,92,0.940065
Math,96b,436,436,24,22,3,22,0.949541
Math,82b,273,273,223,131,127,131,0.520147
Math,83b,368,368,243,129,0,129,0.649457
Math,102b,511,496,172,0,0,0,1.0
Math,88b,365,365,236,126,0,126,0.654795
Math,98b,1833,1833,58,0,26,26,0.985816
Math,103b,151,123,68,0,0,0,1.0
Math,105b,253,253,23,0,16,16,0.936759
Math,106b,145,145,96,0,0,0,1.0
Math,87b,365,365,224,129,128,129,0.646575
Math,104b,864,864,59,0,0,0,1.0
Math,100b,604,600,210,204,68,208,0.655629
Math,94b,4908,4908,21,164,19,164,0.966585
Math,99b,5070,5066,31,154,27,181,0.9643
Math,15b,24962,24955,783,634,0,634,0.974601
Math,63b,9795,9787,376,184,5,189,0.980704
Compress,1b,1245,1131,267,0,138,138,0.889157
Compress,7b,1759,1759,12,0,0,0,1.0
Compress,8b,1760,1760,6,0,0,0,1.0
Compress,2b,2891,2890,180,0,0,0,1.0
Compress,6b,2002,2002,13,0,7,7,0.996503
Compress,3b,3081,3077,542,0,0,0,1.0
Compress,10b,1277,1273,462,0,0,0,1.0
Compress,4b,3093,3064,540,0,0,0,1.0
Compress,5b,3145,3145,235,45,0,45,0.985692
Compress,9b,4097,4097,195,0,0,0,1.0
Compress,14b,2514,2514,169,0,0,0,1.0
Compress,15b,2614,2613,34,0,19,19,0.992731
Compress,11b,4410,4409,217,0,0,0,1.0
Compress,17b,2661,2661,152,0,57,57,0.978579
Compress,21b,1841,1828,682,0,0,0,1.0
Compress,16b,4415,4407,281,0,0,0,1.0
Compress,23b,1921,1921,228,0,0,0,1.0
Compress,18b,4459,4457,256,0,40,40,0.991029
Compress,13b,2586,2586,556,364,0,364,0.859242
Compress,12b,4419,4414,118,258,24,282,0.936185
Compress,20b,5375,5374,165,0,0,0,1.0
Compress,24b,3099,3098,52,0,0,0,1.0
Compress,27b,3124,3123,62,0,15,15,0.995198
Compress,19b,3030,3014,448,359,0,359,0.881518
Compress,25b,6547,6546,500,0,0,0,1.0
Compress,26b,6543,6543,9,0,0,0,1.0
Compress,28b,6440,6438,253,0,0,0,1.0
Compress,31b,3452,3445,232,0,0,0,1.0
Compress,29b,6897,6881,663,0,173,173,0.974917
Compress,33b,1780,1757,477,0,0,0,1.0
Compress,34b,3600,3598,83,0,0,0,1.0
Compress,36b,5097,5096,569,0,0,0,1.0
Compress,35b,3498,3498,306,0,0,0,1.0
Compress,40b,2099,2099,23,0,0,0,1.0
Compress,30b,3306,3091,1096,0,0,0,1.0
Compress,32b,6738,6737,521,187,23,187,0.972247
Compress,38b,3488,3487,252,1,14,15,0.9957
Compress,39b,3873,3873,16,13,9,22,0.99432
Compress,44b,1257,1250,64,0,0,0,1.0
Compress,22b,2891,2891,1048,0,0,0,1.0
Compress,45b,3130,3117,110,0,0,0,1.0
Compress,46b,4085,4085,25,0,0,0,1.0
Compress,43b,7993,7991,800,0,0,0,1.0
Compress,42b,4460,4460,435,27,0,27,0.993946
Compress,47b,7949,7947,213,0,25,25,0.996855
Compress,41b,7239,7239,562,0,0,0,1.0
Compress,37b,6853,6853,253,58,14,72,0.989494
